[00:00.10 -> 00:01.30]  So welcome back again.
[00:01.70 -> 00:02.74]  Time for one more problem.
[00:03.32 -> 00:07.08]  Now, in this problem, the speeds of two motorcycles are given in the ratio five is to six.
[00:07.54 -> 00:10.96]  The second motorcycle covers three hundred sixty kilometer in three hours.
[00:11.34 -> 00:13.74]  The question is asking us to find the speed of the first
[00:14.14 -> 00:16.64]  motorcycle. Now, because the ratio is five is to six,
[00:17.04 -> 00:21.94]  we can take the two speeds as five x and six x. So first motorcycle speed is five times,
[00:22.30 -> 00:30.84]  second motorcycle speed is six times. Now, let us calculate the actual speed of the second motorcycle. We know that speed is equal to distance divided by time.
[00:31.18 -> 00:34.52]  So speed of the second motorcycle is three hundred sixty divided by three.
[00:34.88 -> 00:39.50]  That gives us one hundred twenty kilometer per hour. Now compare this with the ratio value.
[00:39.88 -> 00:45.24]  Second motorcycle speed is six x, and actual second motorcycle speed is one hundred twenty. So six
[00:45.68 -> 00:56.16]  x is equal to one hundred twenty. After solving this, x is equal to twenty. Now we need the speed of the first motorcycle. First motorcycle speed is five x, and x equal to twenty.
[00:56.56 -> 00:58.44]  So five x is equal to five into twenty.
[00:58.84 -> 01:01.02]  That gives us one hundred kilometer per hour.
[01:01.38 -> 01:04.14]  So the final answer will be one hundred kilometer per hour.
[01:04.66 -> 01:05.04]  Hence,
[01:05.52 -> 01:08.16]  option B, one hundred kilometer per hour is correct.
