[00:00.10 - 00:00.98]  So welcome back again.
[00:01.50 - 00:04.38]  It's time to solve one more problem. Now in this problem, we are given that
[00:04.88 - 00:07.18]  cos of A is equal to five by 13.
[00:07.64 - 00:09.42]  The question is asking us to find sine of
[00:09.84 - 00:10.90]  90 degrees minus A.
[00:11.34 - 00:13.02]  This is a direct identity question.
[00:13.48 - 00:15.04]  We do not need to make a triangle here.
[00:15.34 - 00:18.68]  We only need to remember one co-function identity.
[00:19.32 - 00:21.30]  The identity is sine of
[00:21.60 - 00:22.92]  90 degree minus theta
[00:23.40 - 00:25.22]  is equal to cos of theta.
[00:25.60 - 00:31.76]  So if theta is A, then we can write sine of 90 degree minus A is equal to cos of A. And cos of A is already given as
[00:32.20 - 00:33.22]  five by 13.
[00:33.62 - 00:34.48]  So directly sine of
[00:34.78 - 00:37.40]  90 degree minus A is equal to five by 13.
[00:37.86 - 00:38.24]  Hence,
[00:38.56 - 00:39.42]  the final answer is
[00:39.82 - 00:40.80]  five by 13.
[00:41.20 - 00:43.48]  So the correct option is option B.
