[00:00.10 -> 00:01.68]  So welcome back again.
[00:02.28 -> 00:03.44]  Time for one more problem.
[00:04.02 -> 00:05.56]  Now, in this problem, we are given that
[00:06.04 -> 00:06.56]  two cars
[00:07.02 -> 00:08.32]  start from two towns
[00:08.88 -> 00:10.94]  which are three hundred thirty kilometers apart.
[00:11.70 -> 00:14.56]  The speed of the first car is fifty kilometers per hour.
[00:15.30 -> 00:17.74]  The speed of the second car is sixty kilometers per hour.
[00:18.24 -> 00:19.94]  Also, both the cars are moving
[00:20.40 -> 00:21.24]  towards each other.
[00:21.78 -> 00:27.64]  The question is asking us to find after how many hours they will meet. Now, let us understand one important concept.
[00:28.06 -> 00:33.76]  When two objects move towards each other, the distance between them keeps reducing from both sides. So in this case,
[00:34.12 -> 00:35.74]  we do not subtract the speeds,
[00:36.12 -> 00:36.66]  we add them.
[00:36.96 -> 00:43.48]  And we add the speeds only because both the cars are moving towards each other. Got it? Perfect. Now we know the formula.
[00:43.98 -> 00:46.48]  Relative speed is equal to the sum of their speeds.
[00:47.02 -> 00:47.92]  Putting the values,
[00:48.42 -> 00:52.14]  relative speed is equal to fifty plus sixty.
[00:52.70 -> 00:53.62]  This gives us one hundred
[00:54.16 -> 00:55.50]  ten kilometers per hour.
[00:56.06 -> 00:59.14]  Now that we know the relative speed, we can find the time taken to meet.
[00:59.56 -> 01:00.48]  We know the formula.
[01:00.96 -> 01:03.66]  Time is equal to distance divided by relative speed.
[01:04.16 -> 01:05.16]  Putting the values,
[01:05.50 -> 01:08.70]  time is equal to three hundred thirty divided by one hundred ten.
[01:09.38 -> 01:11.26]  After simplifying this, we get three hours.
[01:11.58 -> 01:14.62]  So the two cars will meet after three hours.
[01:15.14 -> 01:17.80]  Hence, the correct answer is option A.
