[00:00.10 -> 00:00.26]  So
[00:00.58 -> 00:01.52]  welcome back again.
[00:02.08 -> 00:03.06]  It's time to solve
[00:03.62 -> 00:04.54]  one more problem.
[00:04.98 -> 00:05.76]  Now in this problem,
[00:06.32 -> 00:07.72]  a 13-meter ladder
[00:08.28 -> 00:11.22]  is touching a window which is 12 meters above the ground.
[00:11.82 -> 00:14.82]  The question is asking us to find how far the foot of the ladder is
[00:15.22 -> 00:15.76]  from the wall.
[00:16.12 -> 00:16.32]  Here,
[00:16.68 -> 00:17.10]  the ladder,
[00:17.48 -> 00:18.54]  the wall, and the ground
[00:19.16 -> 00:20.52]  make a right angle triangle.
[00:20.84 -> 00:25.10]  The ladder will be the hypotenuse because it is the slant side.
[00:25.50 -> 00:27.28]  The wall height is the perpendicular,
[00:27.72 -> 00:31.08]  and the distance from the wall to the foot of the ladder is the base.
[00:31.80 -> 00:33.26]  Let the base be x meter.
[00:33.82 -> 00:39.30]  Using Pythagoras theorem, hypotenuse square is equal to base square plus
[00:39.94 -> 00:45.62]  perpendicular square. So we can write 13 square is equal to x square plus 12 square.
[00:46.00 -> 00:52.04]  That means 169 is equal to x square plus 144.
[00:52.52 -> 00:54.92]  So x square is equal to
[00:55.22 -> 00:58.56]  169 minus 144.
[00:59.28 -> 01:00.20]  After subtracting,
[01:00.78 -> 01:03.10]  x square is equal to 25.
[01:03.52 -> 01:06.46]  So x is equal to the square root of 25, which is five.
[01:07.22 -> 01:07.68]  Hence,
[01:08.30 -> 01:13.34]  the foot of the ladder is five meters from the wall. So the correct option is option C.
