[00:00.10 -> 00:00.26]  So
[00:00.62 -> 00:01.46]  welcome back again.
[00:01.98 -> 00:03.08]  Time for one more problem.
[00:03.58 -> 00:04.28]  Now, in this problem,
[00:04.84 -> 00:06.44]  a woman travels the first
[00:06.96 -> 00:08.42]  one hundred kilometers
[00:08.96 -> 00:10.50]  at fifty kilometers per hour.
[00:11.02 -> 00:13.32]  She travels the next one hundred kilometers
[00:13.80 -> 00:15.68]  at one hundred kilometers per hour.
[00:16.24 -> 00:19.88]  The question is asking us to find the average speed for the whole journey.
[00:20.30 -> 00:20.98]  Be careful here.
[00:21.54 -> 00:24.32]  We should not simply take the average of fifty and one hundred.
[00:24.82 -> 00:26.20]  Average speed is equal to
[00:26.88 -> 00:29.18]  total distance divided by total time.
[00:29.70 -> 00:30.04]  First,
[00:30.38 -> 00:33.94]  let us find the time taken for the first one hundred kilometers.
[00:34.42 -> 00:37.52]  We know that time is equal to distance divided by speed.
[00:38.04 -> 00:40.60]  So the first time is one hundred divided by fifty,
[00:41.06 -> 00:42.76]  which gives us two hours.
[00:43.16 -> 00:46.72]  For the next one hundred kilometer, the time is one hundred divided by one hundred.
[00:47.24 -> 00:48.30]  This gives us one hour.
[00:48.76 -> 00:52.24]  Now, the total distance is one hundred plus one hundred, which is two hundred kilometers.
[00:52.70 -> 00:54.96]  The total time is two plus one, which is three hours.
[00:55.30 -> 00:55.60]  Got it?
[00:56.14 -> 00:56.48]  Perfect.
[00:56.94 -> 01:00.64]  Now, average speed is equal to total distance divided by total time.
[01:01.14 -> 01:04.30]  So the average speed is two hundred divided by three.
[01:04.84 -> 01:09.16]  This gives us approximately sixty-six point six seven kilometers per hour. Hence,
[01:09.58 -> 01:19.34]  the average speed for the whole journey is sixty-six point six seven kilometers per hour. So the final answer will be option D, sixty-six point six seven kilometers per hour.
