[00:00.12 -> 00:00.28]  So
[00:00.72 -> 00:01.40]  welcome back again.
[00:02.08 -> 00:05.34]  It's time to solve one more problem. Now, in this problem, we are given that
[00:05.90 -> 00:06.64]  two trains
[00:07.12 -> 00:08.08]  have the same speed.
[00:08.74 -> 00:10.60]  Train one crosses a pole in twelve seconds,
[00:11.12 -> 00:12.26]  and train two crosses
[00:12.72 -> 00:14.22]  a pole in eighteen seconds.
[00:14.70 -> 00:16.30]  The question is asking us to find
[00:16.80 -> 00:18.48]  the ratio of their lengths.
[00:18.90 -> 00:21.68]  Let the speed of each train be V meter per second.
[00:22.14 -> 00:25.12]  Let the lengths of the two trains be L1 and L2.
[00:25.52 -> 00:28.88]  Now, the important concept here is when a train crosses a pole,
[00:29.44 -> 00:31.06]  it covers only its own length.
[00:31.44 -> 00:33.40]  There is no platform or another train involved.
[00:33.70 -> 00:36.96]  So the distance covered is simply the length of the train.
[00:37.30 -> 00:42.90]  Hence, we use the formula speed equals length of train divided by time.
[00:43.58 -> 00:47.98]  Since both trains have the same speed, this speed will be equal for both.
[00:48.32 -> 00:53.88]  So we can say speed of first train equals L1 by time taken by first train,
[00:54.18 -> 00:56.52]  which is twelve. So speed becomes
[00:57.12 -> 00:57.96]  L1 by twelve.
[00:58.36 -> 00:59.36]  And for second train,
[00:59.68 -> 01:00.36]  speed equals
[01:00.76 -> 01:02.94]  L2 by time taken by second train,
[01:03.30 -> 01:07.12]  which is eighteen. So speed becomes L2 by eighteen.
[01:07.50 -> 01:13.44]  And we are given that speed of both trains are equal, so L1 by twelve equals
[01:14.16 -> 01:14.24]  L2
[01:14.54 -> 01:15.94]  by eighteen, which is
[01:16.46 -> 01:16.82]  L1 by
[01:17.32 -> 01:19.54]  L2 equals twelve by eighteen.
[01:20.26 -> 01:25.36]  After simplifying this by dividing both numbers by six, we get L1 by
[01:25.86 -> 01:27.62]  L2 equals two by three.
[01:28.54 -> 01:34.04]  So the required ratio of the lengths of the two trains is two is to three.
[01:34.94 -> 01:37.56]  Hence, the correct option is option B.
