[00:00.12 -> 00:00.28]  So
[00:00.72 -> 00:01.52]  welcome back again.
[00:02.18 -> 00:03.64]  It's time to solve one more problem.
[00:04.10 -> 00:07.32]  Now in this problem, we are given that two trains have the same speed.
[00:07.82 -> 00:09.86]  Train one crosses a pole in 12 seconds,
[00:10.32 -> 00:12.62]  and train two crosses a pole in 18 seconds.
[00:12.98 -> 00:15.64]  The question is asking us to find the ratio of their lengths.
[00:16.10 -> 00:18.78]  Let the speed of each train be V meter per second.
[00:19.22 -> 00:21.74]  Let the lengths of the two trains be L1 and L2.
[00:22.16 -> 00:23.74]  Now, the important concept here is
[00:24.12 -> 00:26.94]  when a train crosses a pole, it covers only its own length.
[00:27.42 -> 00:29.44]  There is no platform or another train involved,
[00:29.76 -> 00:37.14]  so the distance covered is simply the length of the train. Hence, we use the formula time equals length of train divided by speed.
[00:37.80 -> 00:41.90]  Since both trains have the same speed, this speed will be equal for both.
[00:42.42 -> 00:44.28]  So we can say L1 by
[00:44.66 -> 00:46.90]  L2 equals T1 by T2.
[00:47.34 -> 00:47.62]  Why?
[00:48.10 -> 00:52.20]  Because length is directly proportional to time when the speed remains the same.
[00:52.62 -> 00:54.26]  This is the main idea of the question.
[00:54.70 -> 00:56.30]  Now, let us put the given values,
[00:56.98 -> 00:57.42]  L1 by
[00:57.90 -> 01:05.34]  L2 equals 12 by 18. After simplifying this by dividing both numbers by six, we get L1 by
[01:05.96 -> 01:06.04]  L2
[01:06.54 -> 01:08.14]  equals two by three.
[01:08.92 -> 01:16.16]  So the required ratio of the lengths of the two trains is two is to three. Hence, the correct option is option B.
