[00:00.10 -> 00:00.32]  So
[00:00.72 -> 00:01.56]  welcome back again.
[00:02.04 -> 00:03.18]  Time for one more problem.
[00:03.58 -> 00:07.54]  Now in this problem, a driver completes a total distance of one hundred fifty kilometer.
[00:08.12 -> 00:09.92]  The trip is divided into two equal halves.
[00:10.32 -> 00:13.74]  The first seventy-five kilometer is covered at twenty-five kilometer per hour.
[00:14.24 -> 00:17.84]  The next seventy-five kilometer is covered at seventy-five kilometer per hour.
[00:18.32 -> 00:21.30]  The question is asking us to find the average speed for the whole trip.
[00:21.70 -> 00:22.94]  Be very sure about one thing.
[00:23.46 -> 00:26.72]  Average speed is not the average of the two speeds,
[00:27.08 -> 00:28.26]  so we must use the formula.
[00:28.90 -> 00:32.56]  Average speed is equal to total distance divided by total time.
[00:32.96 -> 00:34.80]  Now let us find the time taken for each half.
[00:35.16 -> 00:35.42]  We know
[00:35.90 -> 00:38.08]  time is equal to distance divided by speed.
[00:38.46 -> 00:40.66]  For the first seventy-five kilometer,
[00:41.24 -> 00:42.80]  time is equal to seventy-five
[00:43.18 -> 00:45.02]  divided by the speed during the first half,
[00:45.42 -> 00:46.36]  which is twenty-five.
[00:46.74 -> 00:47.98]  This gives us three hours.
[00:48.42 -> 00:53.08]  Now that we know the time taken for the first half, let us find the time taken for the second half.
[00:53.48 -> 00:54.76]  Time is equal to seventy-five
[00:55.36 -> 00:58.60]  divided by the speed during the second half, which is seventy-five.
[00:58.94 -> 01:00.04]  This gives us one hour.
[01:00.40 -> 01:05.34]  Now this part is completed. We already know the time taken for both halves, so let us find the total time.
[01:05.96 -> 01:12.80]  Total time is equal to the time taken to cover the first half plus the time taken to cover the second half.
[01:13.32 -> 01:14.72]  That is equal to three plus one.
[01:15.08 -> 01:16.24]  This gives us four hours.
[01:16.66 -> 01:18.26]  The total distance is already given,
[01:18.74 -> 01:20.36]  which is one hundred fifty kilometer.
[01:20.80 -> 01:22.00]  Now we have everything we need.
[01:22.56 -> 01:29.22]  Average speed is equal to total distance divided by total time. Putting the values, average speed is equal to one hundred fifty
[01:29.76 -> 01:36.82]  divided by four. After simplifying this, we get thirty-seven point five kilometer per hour. So the average speed of the driver
[01:37.34 -> 01:38.38]  is thirty-seven point five
[01:39.76 -> 01:42.70]  kilometer per hour. Hence the correct answer is option C.
