[00:00.10 -> 00:01.20]  So welcome back again.
[00:01.92 -> 00:03.26]  It's time to solve one more problem.
[00:03.84 -> 00:07.06]  Now in this problem, we are given that a train crosses a pole in twelve seconds
[00:07.52 -> 00:10.48]  and a one hundred and eighty-meter platform in twenty-four seconds.
[00:11.08 -> 00:13.96]  The question is asking us to find the length of the train.
[00:14.50 -> 00:16.52]  Let the length of the train be L meter.
[00:17.18 -> 00:19.84]  Since the train is moving at the same speed in both cases,
[00:20.38 -> 00:23.04]  its speed will be equal in both situations.
[00:23.60 -> 00:26.44]  Now let us first write the speed when the train crosses the pole.
[00:27.02 -> 00:28.18]  When a train crosses a pole,
[00:28.66 -> 00:30.94]  distance covered is only the length of train.
[00:31.50 -> 00:31.64]  So
[00:32.18 -> 00:35.14]  speed equals length of train divided by time to cross pole.
[00:35.62 -> 00:37.64]  Speed equals L divided by twelve.
[00:38.18 -> 00:39.24]  Call this Equation 1.
[00:39.76 -> 00:42.40]  Now let us write the speed when the train crosses the platform.
[00:42.90 -> 00:46.18]  Here the train has to cross both its own length and the platform.
[00:46.68 -> 00:51.08]  So the total distance becomes length of train plus length of platform.
[00:51.60 -> 01:01.28]  That is L plus one hundred and eighty. Hence, speed equals L plus one hundred and eighty divided by twenty-four. Call this Equation 2.
[01:01.80 -> 01:03.02]  Now this is the important point.
[01:03.48 -> 01:06.64]  The train is the same and it is moving at the same speed.
[01:07.24 -> 01:09.46]  So Equation 1 and Equation 2 must be equal.
[01:10.02 -> 01:10.46]  Therefore,
[01:11.20 -> 01:14.82]  L divided by twelve equals L plus one hundred and eighty
[01:15.56 -> 01:21.56]  divided by twenty-four. After simplifying this whole equation, L equals one hundred and eighty meter.
[01:22.72 -> 01:28.96]  Hence, the length of the train is one hundred and eighty meter. So the correct answer is option D.
