[00:00.10 -> 00:00.30]  So
[00:00.68 -> 00:01.46]  welcome back again.
[00:02.16 -> 00:03.52]  It's time to solve one more problem.
[00:03.88 -> 00:04.60]  Now, in this problem,
[00:05.16 -> 00:07.28]  we are given that the motorboat travels at
[00:07.64 -> 00:08.54]  20 kilometer
[00:09.02 -> 00:09.46]  per hour
[00:10.00 -> 00:12.56]  with the current and 12 kilometer per hour
[00:13.02 -> 00:13.52]  against
[00:13.90 -> 00:14.34]  the current.
[00:14.88 -> 00:15.56]  The question is
[00:16.04 -> 00:17.80]  asking us to find the speed of the boat
[00:18.20 -> 00:19.00]  in still water.
[00:19.46 -> 00:22.80]  Let the speed of the boat in still water be b kilometer per hour,
[00:23.22 -> 00:28.46]  and let the speed of the current be c kilometer per hour. Now, what do these two values mean?
[00:28.88 -> 00:32.50]  The value b is the speed of the boat when the water is completely still.
[00:33.08 -> 00:35.12]  That means there is no current in the river.
[00:35.56 -> 00:39.10]  And c is the speed at which the river water itself is flowing.
[00:39.44 -> 00:41.52]  Now, let us understand downstream and upstream.
[00:41.90 -> 00:49.02]  When the boat moves along with the current, the current helps the boat move faster. So downstream speed equals b plus c.
[00:49.38 -> 00:52.98]  When the boat moves against the current, the current slows the boat down.
[00:53.32 -> 00:55.38]  So upstream speed equals b minus c.
[00:55.82 -> 00:57.38]  Now we can use the given values.
[00:57.86 -> 00:58.72]  Downstream speed,
[00:59.14 -> 01:03.88]  b plus c equals 20. Upstream speed, b minus c equals 12.
[01:04.36 -> 01:05.38]  Now this part is done.
[01:05.82 -> 01:07.20]  If we add both equations,
[01:07.84 -> 01:08.90]  c gets canceled.
[01:09.50 -> 01:14.50]  After simplifying, we get 2b equals 32. So b equals 16.
[01:15.30 -> 01:15.74]  Hence,
[01:16.06 -> 01:23.64]  the speed of the boat in still water is 16 kilometer per hour. So the correct option is option A.
