[00:00.10 -> 00:01.04]  So welcome back again.
[00:01.76 -> 00:02.84]  It's time to solve
[00:03.40 -> 00:04.36]  one more problem.
[00:04.92 -> 00:06.42]  Now, let us first read the question.
[00:06.80 -> 00:10.70]  A 210-meter train passes a cyclist moving in the same direction
[00:11.20 -> 00:12.74]  at six kilometers per hour
[00:13.22 -> 00:14.52]  in 14 seconds.
[00:15.06 -> 00:16.62]  We need to find the speed of the train.
[00:17.10 -> 00:20.04]  Given length of train equals 210 meters,
[00:20.64 -> 00:23.58]  cyclist speed equals six kilometers per hour,
[00:24.06 -> 00:25.42]  time equals 14 seconds.
[00:25.80 -> 00:27.90]  Let the speed of the train be t
[00:28.26 -> 00:29.26]  kilometers per hour.
[00:29.78 -> 00:30.78]  Now, what is our approach?
[00:31.20 -> 00:36.00]  The important words are same direction. When two objects move in the same direction, we never use the actual speed.
[00:36.38 -> 00:40.24]  We use relative speed because the train is only catching up with the cyclist.
[00:40.60 -> 00:45.32]  So relative speed equals train speed minus cyclist speed, equals t minus six.
[00:45.70 -> 00:48.20]  Now we need the value of this relative speed.
[00:48.64 -> 00:54.72]  When a train passes a cyclist, the cyclist is treated like a point, so the train covers only its own length.
[00:55.04 -> 00:55.42]  Hence,
[00:55.92 -> 01:01.42]  relative speed equals distance divided by time, where distance covered is length of the train.
[01:01.80 -> 01:23.84]  So relative speed equals 210 divided by 14, equals 15 meters per second. But our variable t is in kilometers per hour, so first convert the relative speed. 15 times 3.6 equals 54 kilometer per hour. Now substitute this into our equation. Relative speed equals t minus six, so t minus six equals 54.
[01:24.36 -> 01:28.00]  Adding six on both sides, t equals 60 kilometer per hour.
[01:28.74 -> 01:30.70]  Hence, the speed of the train is
[01:31.14 -> 01:35.46]  60 kilometer per hour. So the correct option is option B.
