[00:00.10 -> 00:01.24]  So welcome back again.
[00:01.94 -> 00:04.30]  It's time to solve one more problem. Now, in this problem,
[00:05.02 -> 00:06.38]  we are given that a boat
[00:06.88 -> 00:07.20]  covers
[00:07.52 -> 00:08.54]  48 kilometer
[00:09.38 -> 00:10.80]  downstream in three hours.
[00:11.28 -> 00:15.70]  Also, the speed of the boat in still water is 13 kilometer per hour.
[00:16.24 -> 00:18.64]  The question is asking us to find the speed of the stream.
[00:19.16 -> 00:21.00]  Now, can we directly find the stream speed?
[00:21.46 -> 00:22.16]  No, we cannot.
[00:22.76 -> 00:25.38]  First, we need to know the boat's downstream speed.
[00:26.10 -> 00:26.38]  We know
[00:27.04 -> 00:29.40]  speed equals distance divided by time.
[00:29.86 -> 00:31.28]  So downstream speed equals
[00:31.62 -> 00:32.92]  48 divided by
[00:33.24 -> 00:33.28]  3,
[00:33.80 -> 00:35.58]  which is 16 kilometer
[00:36.00 -> 00:36.52]  per hour.
[00:37.06 -> 00:37.32]  Done.
[00:37.86 -> 00:39.20]  Now we have the downstream speed.
[00:39.58 -> 00:42.92]  Now this value will help us find the required answer.
[00:43.48 -> 00:44.58]  We know one simple rule,
[00:45.20 -> 00:49.62]  downstream speed equals boat speed in still water plus stream speed.
[00:50.06 -> 00:55.10]  Now let us put the given values, 16 equals 13 plus stream speed.
[00:55.48 -> 01:02.34]  After simplifying this, we get stream speed equals 16 minus 13, which is 3 kilometers per hour.
[01:03.24 -> 01:03.68]  Hence,
[01:04.08 -> 01:07.48]  the speed of the stream is 3 kilometer per hour.
[01:08.50 -> 01:10.24]  So the final answer will be option C.
