[00:00.10 -> 00:01.18]  So welcome back again.
[00:01.96 -> 00:03.50]  It's time to solve one more problem.
[00:04.04 -> 00:08.26]  Now let us first read the question. A floating log moves at four kilometer per hour
[00:08.76 -> 00:09.30]  with the current.
[00:09.72 -> 00:12.26]  A boat has still water speed twelve kilometers per hour.
[00:12.90 -> 00:14.90]  We need to find the boat's upstream speed.
[00:15.32 -> 00:15.64]  Given,
[00:16.12 -> 00:18.88]  speed of the floating log equals four kilometers per hour.
[00:19.38 -> 00:22.60]  Boat's speed in still water equals twelve kilometers per hour.
[00:23.02 -> 00:26.56]  Let B equals speed of the boat in still water,
[00:27.08 -> 00:28.72]  C equals speed of the current.
[00:29.04 -> 00:29.26]  Here,
[00:29.86 -> 00:32.06]  B equals twelve kilometers per hour.
[00:32.42 -> 00:33.94]  Now we need to find the value of C.
[00:34.42 -> 00:36.80]  A floating log has no engine of its own.
[00:37.32 -> 00:39.54]  It simply moves with the flowing water.
[00:40.08 -> 00:43.42]  So the speed of the floating log is always equal to the speed of the current.
[00:43.86 -> 00:44.22]  Hence,
[00:44.78 -> 00:49.34]  C equals four kilometers per hour. Now, when a boat moves upstream, it moves against the current.
[00:49.88 -> 00:51.84]  The current slows the boat down.
[00:52.30 -> 00:55.02]  So upstream speed equals B minus C.
[00:55.54 -> 00:56.80]  Now substitute the values.
[00:57.26 -> 01:02.50]  Upstream speed equals twelve minus four. Upstream speed equals eight kilometers per hour.
[01:03.20 -> 01:07.06]  Hence, the boat's upstream speed is eight kilometers per hour.
[01:07.50 -> 01:09.84]  So the correct option is option A.
