[00:00.12 -> 00:00.26]  So
[00:00.82 -> 00:01.54]  welcome back again.
[00:02.10 -> 00:03.24]  Time for one more problem.
[00:03.66 -> 00:05.14]  Now, in this problem, we are given that
[00:05.58 -> 00:09.00]  the speeds of two motorcycles are in the ratio of five is to six.
[00:09.52 -> 00:12.84]  Also, the second motorcycle covers three hundred sixty kilometer
[00:13.30 -> 00:14.48]  in three hours.
[00:14.84 -> 00:15.48]  The question is
[00:16.02 -> 00:18.90]  asking us to find the speed of the first motorcycle.
[00:19.32 -> 00:24.82]  Because the ratio is five is to six, let the speed of the first motorcycle be five x kilometer
[00:25.26 -> 00:25.64]  per hour
[00:26.04 -> 00:29.84]  and the speed of the second motorcycle be six x kilometer per hour,
[00:30.34 -> 00:33.64]  as the second motorcycle's distance and time are already given.
[00:33.96 -> 00:34.56]  So first,
[00:34.88 -> 00:37.72]  let us find its actual speed of second motorcycle.
[00:38.16 -> 00:41.18]  We know the formula, speed is equal to distance divided by time.
[00:41.56 -> 00:42.48]  Putting the values,
[00:42.82 -> 00:48.66]  speed of the second motorcycle is equal to three hundred sixty kilometer divided by three hours.
[00:49.12 -> 00:58.34]  This gives us one hundred twenty kilometer per hour. Now that we know the actual speed of the second motorcycle, we can compare it with the ratio value, which is six
[00:58.82 -> 00:58.84]  x.
[00:59.64 -> 01:04.40]  So six x is equal to one hundred twenty. Dividing both sides by six,
[01:05.10 -> 01:06.46]  x is equal to twenty.
[01:06.90 -> 01:10.36]  Now, this value will help us find the speed of the first motorcycle.
[01:10.84 -> 01:27.18]  So speed of the first motorcycle is equal to five x, where x equal to twenty speed of first motorcycle become five into twenty. This gives us one hundred kilometer per hour. So the speed of the first motorcycle is one hundred kilometer per hour. Hence, the correct option is option B
