[00:00.10 -> 00:01.58]  So welcome back again.
[00:02.16 -> 00:03.78]  It's time to solve one more problem.
[00:04.26 -> 00:06.40]  Now in this problem, 50 men enter a water tank.
[00:07.06 -> 00:09.62]  The tank is 50 meter long and 20 meter broad.
[00:10.18 -> 00:12.64]  Each man displaces four cubic meter of water.
[00:13.28 -> 00:15.40]  We need to find how much the water level rises.
[00:15.90 -> 00:17.44]  So what does displaces water mean?
[00:17.88 -> 00:19.82]  Imagine a bucket filled with water.
[00:20.28 -> 00:24.94]  If you put one stone into the bucket, the water level goes up a little. If you put many stones into the bucket,
[00:25.34 -> 00:27.10]  the water level rises even more.
[00:27.50 -> 00:29.72]  The same thing happens when people enter a water tank.
[00:30.32 -> 00:33.34]  Every person pushes some water away, so the water level rises.
[00:34.06 -> 00:34.38]  First,
[00:34.76 -> 00:37.26]  let us find how much water all the men displace.
[00:37.66 -> 00:44.36]  One man displaces four cubic meter. So 50 men will displace 50 times four, that is equal to 200 cubic meter.
[00:44.70 -> 00:47.34]  This is the total extra volume added inside the tank.
[00:47.68 -> 00:48.62]  Now that we have found this,
[00:48.98 -> 00:50.98]  we can use it to find the rise in water level.
[00:51.46 -> 00:51.76]  First,
[00:52.08 -> 00:53.72]  find the bottom area of the tank.
[00:54.14 -> 00:56.76]  Area equal to length into breadth equal to
[00:57.12 -> 01:00.26]  50 times 20, that is equal to 1,000 square meter.
[01:00.70 -> 01:02.10]  Think about one simple idea.
[01:02.48 -> 01:05.90]  The displaced water spreads over the entire bottom of the tank.
[01:06.32 -> 01:10.74]  So volume equal to area into height. We already know the volume and the area.
[01:11.18 -> 01:12.50]  The only unknown is the height,
[01:12.88 -> 01:20.64]  which is the rise in water level. So height equal to volume upon area, that is equal to 200 upon 1,000, which equals 0.2 meter.
[01:21.06 -> 01:33.48]  Here, the answer is asked in centimeter, 0.2 meter is equal to 20 centimeter. The water level rises by 20 centimeter. So the final answer will be 20 centimeter, which is option C.
