[00:00.10 -> 00:00.98]  So welcome back again.
[00:01.50 -> 00:02.64]  Time for one more problem.
[00:03.26 -> 00:04.02]  Now in this problem,
[00:04.62 -> 00:07.42]  we are given that two runners are five hundred meter apart.
[00:07.98 -> 00:10.32]  The first runner is running at six meters per second.
[00:10.86 -> 00:13.14]  The second runner is running at four meters per second.
[00:13.78 -> 00:15.66]  Also, they are running towards each other.
[00:16.20 -> 00:19.20]  The question is asking us to find after how many seconds they will meet.
[00:19.62 -> 00:21.58]  Now, let us understand one important concept.
[00:22.00 -> 00:24.34]  When two objects move towards each other,
[00:24.76 -> 00:27.66]  the distance between them keeps reducing from both sides.
[00:28.08 -> 00:28.88]  So in this case,
[00:29.34 -> 00:31.06]  we do not subtract the speeds,
[00:31.56 -> 00:32.20]  we add them.
[00:32.64 -> 00:36.54]  And we add the speeds only because they are moving towards each other. Got it?
[00:37.02 -> 00:37.42]  Perfect.
[00:37.82 -> 00:40.64]  So the relative speed is equal to the sum of their speeds.
[00:41.06 -> 00:45.88]  Relative speed equals six plus four equals ten meters per second.
[00:46.36 -> 00:47.36]  Now we know the formula.
[00:47.90 -> 00:51.04]  Time is equal to distance divided by relative speed.
[00:51.52 -> 00:52.46]  Putting the values,
[00:52.80 -> 00:55.14]  time equals five hundred divided by ten,
[00:55.66 -> 00:56.70]  which is fifty seconds.
[00:57.00 -> 00:59.30]  So the two runners will meet after fifty seconds.
[00:59.64 -> 01:01.46]  Hence, the correct answer is option A.
