[00:00.12 -> 00:00.28]  So
[00:00.86 -> 00:01.74]  welcome back again.
[00:02.32 -> 00:03.46]  Time for one more problem.
[00:04.06 -> 00:05.98]  Now, in this problem, we are given that a bus
[00:06.62 -> 00:08.92]  runs at fifty-four kilometers per hour.
[00:09.48 -> 00:11.08]  But there is one more important point.
[00:11.54 -> 00:15.06]  The bus stops for eight minutes in every one hour.
[00:15.72 -> 00:19.12]  The question is asking us to find the average speed, including these stops.
[00:19.60 -> 00:21.70]  Now, let us understand what this really means.
[00:22.06 -> 00:22.98]  In every one hour,
[00:23.34 -> 00:26.32]  the bus stops for eight minutes. So out of every sixty minutes,
[00:26.72 -> 00:29.28]  it is actually moving for only fifty-two minutes. Got it?
[00:29.68 -> 00:30.08]  Perfect.
[00:30.44 -> 00:34.44]  Now let us find the distance covered during these fifty-two minutes. We know the formula,
[00:34.98 -> 00:36.94]  distance is equal to speed into time.
[00:37.40 -> 00:45.02]  The speed of the bus is fifty-four kilometers per hour, and the time for which it is actually moving is fifty-two minutes, which is fifty-two by sixty hours.
[00:45.48 -> 00:49.02]  So distance covered is equal to speed into time, which is fifty-four
[00:49.44 -> 00:50.14]  into fifty-two
[00:50.68 -> 00:51.34]  by sixty.
[00:51.82 -> 00:53.00]  After simplifying this,
[00:53.34 -> 00:56.00]  we get forty-six point eight kilometers.
[00:56.44 -> 00:57.64]  Now think about what we have found.
[00:58.04 -> 01:18.98]  In one complete hour, including the eight-minute stop, the bus manages to travel only forty-six point eight kilometers. And average speed simply means how much distance do we cover in one full hour. Since the bus covers only forty-six point eight kilometers in one complete hour, its average speed, including stops,
[01:19.48 -> 01:24.76]  is forty-six point eight kilometers per hour. Hence, the correct answer is option D.
