[00:00.08 → 00:01.78]  So welcome back again.
[00:02.42 → 00:03.86]  Time for one more problem.
[00:04.24 → 00:05.02]  Now in this problem,
[00:05.54 → 00:07.54]  we are given that a train covers
[00:08.06 → 00:09.10]  ninety kilometers
[00:09.64 → 00:11.62]  at sixty kilometers per hour,
[00:12.24 → 00:14.86]  one hundred twenty kilometers at eighty kilometers per hour,
[00:15.40 → 00:17.04]  and one hundred fifty kilometers
[00:17.50 → 00:19.34]  at one hundred kilometers per hour.
[00:19.88 → 00:21.50]  The question is asking us to find
[00:21.88 → 00:24.06]  the average speed for the whole journey.
[00:24.68 → 00:25.80]  Be very sure about one thing.
[00:26.40 → 00:28.20]  Average speed is not
[00:28.70 → 00:30.06]  the average of the three speeds.
[00:30.50 → 00:31.78]  We always use the formula,
[00:32.40 → 00:35.92]  average speed is equal to total distance divided by total time.
[00:36.42 → 00:36.96]  Now, first,
[00:37.48 → 00:39.28]  let us find the total distance.
[00:39.80 → 00:42.12]  Total distance is equal to ninety plus
[00:42.46 → 00:44.90]  one hundred twenty plus one hundred fifty.
[00:45.44 → 00:47.56]  This gives us three hundred sixty kilometers.
[00:48.00 → 00:49.64]  Now that we know the total distance,
[00:50.12 → 00:52.44]  let us find the time taken for each part.
[00:52.89 → 00:53.79]  We know the formula.
[00:54.34 → 00:57.18]  Time is equal to distance divided by speed.
[00:57.70 → 00:58.51]  For the first part,
[00:58.88 → 01:04.16]  time is equal to ninety divided by sixty. This gives us one point five hours.
[01:04.62 → 01:05.52]  For the second part,
[01:05.98 → 01:09.76]  time is equal to one hundred twenty divided by eighty.
[01:10.32 → 01:13.00]  This also gives us one point five hours.
[01:13.46 → 01:14.30]  For the third part,
[01:14.80 → 01:18.64]  time is equal to one hundred fifty divided by one hundred. Again,
[01:19.22 → 01:22.69]  this gives us one point five hours. Now, this part is completed.
[01:23.33 → 01:24.88]  So let us find the total time.
[01:25.54 → 01:26.16]  Total time
[01:26.72 → 01:28.44]  is equal to one point five plus
[01:29.10 → 01:30.12]  one point five plus
[01:30.62 → 01:31.50]  one point five.
[01:32.00 → 01:33.46]  This gives us four point five hours.
[01:33.95 → 01:34.12]  Now,
[01:34.96 → 01:38.26]  average speed is equal to total distance divided by total time.
[01:38.78 → 01:39.55]  Putting the values,
[01:40.16 → 01:43.78]  average speed is equal to three hundred sixty divided by four point five.
[01:44.24 → 01:45.32]  After simplifying this,
[01:45.74 → 01:47.08]  we get eighty kilometers per hour.
[01:47.54 → 01:50.68]  So the average speed of the train is eighty kilometers per hour.
[01:51.20 → 01:53.62]  Hence, the correct answer is option D.
