[00:00.12 -> 00:01.90]  So welcome back again.
[00:02.38 -> 00:03.42]  Time for one more problem.
[00:04.12 -> 00:08.46]  Now, in this problem, we are given that a flight covers a total distance of one thousand
[00:09.04 -> 00:10.00]  two hundred kilometer.
[00:10.66 -> 00:13.80]  The speed of the flight is reduced by two hundred kilometer per hour.
[00:14.40 -> 00:16.16]  Because of this reduction in speed,
[00:16.68 -> 00:19.52]  the journey takes one extra hour.
[00:20.00 -> 00:24.34]  The question is asking us to find the original duration of the flight.
[00:24.68 -> 00:29.34]  Now, let us assume the original time taken by the flight is t hours.
[00:29.78 -> 00:31.76]  Since we already know the total distance,
[00:32.20 -> 00:34.70]  we can write the original speed using the formula.
[00:35.30 -> 00:37.90]  Speed is equal to distance divided by time.
[00:38.42 -> 00:50.32]  So original speed is equal to one thousand two hundred divided by t. After the speed is reduced, the journey takes one more hour, so the new time becomes t plus one hours.
[00:50.98 -> 00:52.08]  Using the same formula,
[00:52.64 -> 00:57.24]  new speed is equal to one thousand two hundred divided by t plus one.
[00:57.74 -> 00:59.14]  And be very sure about one thing,
[00:59.66 -> 01:09.06]  the question says the speed is reduced by two hundred kilometers per hour. So original speed minus new speed is equal to two hundred.
[01:09.62 -> 01:10.50]  Putting the values,
[01:11.04 -> 01:23.60]  one thousand two hundred divided by t minus one thousand two hundred divided by t plus one is equal to two hundred. After simplifying, we get t square plus t minus six is equal to zero.
[01:24.42 -> 01:31.08]  After factorizing, t plus three multiplied by t minus two is equal to zero. This gives us two values,
[01:31.64 -> 01:35.40]  t is equal to two or t is equal to minus three.
[01:36.16 -> 01:45.22]  But time can never be negative. Hence, the original duration of the flight is two hours. Therefore, the correct answer is option
[01:45.54 -> 01:45.56]  B.
