[00:00.10 -> 00:01.10]  So welcome back again.
[00:01.54 -> 00:02.58]  Time for one more problem.
[00:02.98 -> 00:06.70]  Now in this problem, we are given that a train is running at seventy-two kilometers per hour.
[00:07.24 -> 00:09.50]  It crosses a pole in eighteen seconds.
[00:09.92 -> 00:12.58]  The question is asking us to find the length of the train.
[00:12.98 -> 00:15.62]  Now let us understand one important concept first.
[00:16.14 -> 00:17.00]  To cross a pole,
[00:17.46 -> 00:20.46]  trains travels a distance equal to its own length.
[00:20.98 -> 00:21.54]  Now first,
[00:21.96 -> 00:26.98]  let us convert the speed into meters per second because the time is given in seconds.
[00:27.42 -> 00:33.92]  We know speed in meters per second is equal to speed in kilometers per hour into five by eighteen.
[00:34.52 -> 00:35.36]  Putting the values,
[00:35.84 -> 00:39.06]  speed is equal to seventy-two into five by eighteen.
[00:39.64 -> 00:40.86]  After simplifying this,
[00:41.32 -> 00:43.02]  we get twenty meters per second.
[00:43.52 -> 00:44.74]  Now that we know the speed,
[00:45.34 -> 00:47.02]  we can use the distance formula.
[00:47.60 -> 00:49.82]  We know distance is equal to speed into time.
[00:50.40 -> 00:57.22]  Since the distance covered to cross the pole is the length of the train, so length of the train is equal to twenty into eighteen.
[00:58.18 -> 01:05.86]  After solving this, we get three hundred sixty meters. So the length of the train is three hundred sixty meters. Hence,
[01:06.38 -> 01:08.82]  the correct answer is option C.
