[00:00.08 -> 00:00.30]  So
[00:00.92 -> 00:01.76]  welcome back again.
[00:02.35 -> 00:03.82]  Time for one more problem.
[00:04.60 -> 00:06.74]  Now, in this problem, we are given two statements.
[00:07.28 -> 00:08.54]  The first statement says that
[00:09.00 -> 00:12.53]  the boat's downstream speed is twenty-six kilometer per hour.
[00:13.20 -> 00:18.14]  The second statement says that the same boat's upstream speed is eighteen kilometer per hour.
[00:18.68 -> 00:25.05]  The question is not asking us to find the current speed directly. It is asking a data sufficiency question.
[00:25.52 -> 00:26.21]  In simple words,
[00:26.62 -> 00:31.68]  we need to check whether the given information is enough to find the speed of the river current.
[00:32.04 -> 00:32.42]  Got it?
[00:33.08 -> 00:33.44]  Perfect.
[00:34.02 -> 00:35.85]  Now, before checking the statements,
[00:36.34 -> 00:38.14]  let us assume two unknowns.
[00:38.64 -> 00:42.24]  Let the speed of the boat in still water be B kilometer per hour,
[00:42.83 -> 00:45.91]  and let the speed of the river current be C kilometer per hour.
[00:46.26 -> 00:48.42]  Now, remember these two very important formulas.
[00:48.88 -> 00:50.50]  Downstream speed is equal to
[00:50.96 -> 00:53.40]  boat speed in still water plus current speed
[00:53.86 -> 00:56.04]  because the river helps the boat move faster,
[00:56.54 -> 00:56.84]  and
[00:57.34 -> 01:01.80]  upstream speed is equal to boat speed in still water minus current speed
[01:02.26 -> 01:04.70]  because the river is now slowing the boat down.
[01:05.20 -> 01:07.62]  These two formulas are the key to the entire question.
[01:07.96 -> 01:09.80]  Now, let us check the statements one by one.
[01:10.32 -> 01:10.68]  First,
[01:11.01 -> 01:11.74]  statement one.
[01:12.22 -> 01:16.92]  It says the downstream speed is twenty-six kilometer per hour.
[01:17.60 -> 01:22.76]  Using the formula, boat speed plus current speed is equal to twenty-six. Now ask yourself one question.
[01:23.26 -> 01:25.62]  Can we find the current speed from this single equation?
[01:26.16 -> 01:26.32]  No,
[01:26.82 -> 01:29.02]  because both B and C are unknown.
[01:29.44 -> 01:32.00]  There are two unknown values, but only one equation.
[01:32.46 -> 01:32.76]  Hence,
[01:33.32 -> 01:35.70]  statement one alone is not sufficient.
[01:36.10 -> 01:37.40]  Now let us check statement two.
[01:37.90 -> 01:38.40]  It says
[01:38.80 -> 01:41.76]  the upstream speed is eighteen kilometer per hour.
[01:42.30 -> 01:43.14]  Using the formula,
[01:43.58 -> 01:46.56]  boat speed minus current speed is equal to eighteen.
[01:46.94 -> 01:48.58]  Again, can we find the current speed?
[01:49.06 -> 01:49.18]  No.
[01:49.76 -> 01:52.14]  Once again, we have only one equation with two unknowns.
[01:52.56 -> 01:55.12]  So statement two alone is also not sufficient.
[01:55.64 -> 01:56.98]  Now comes the important part.
[01:57.56 -> 01:58.66]  What happens if we use
[01:59.42 -> 01:59.82]  both
[02:00.12 -> 02:01.10]  statements together?
[02:01.68 -> 02:02.24]  Now we know
[02:02.78 -> 02:03.76]  boat speed plus
[02:04.24 -> 02:10.00]  current speed is equal to twenty-six and boat speed minus current speed is equal to eighteen.
[02:10.62 -> 02:11.94]  Now notice something beautiful.
[02:12.54 -> 02:14.74]  One equation has plus current speed.
[02:15.29 -> 02:17.34]  The other has minus current speed.
[02:17.86 -> 02:19.34]  So if we add both equations,
[02:19.80 -> 02:23.30]  the current speed gets canceled automatically. After adding them,
[02:23.72 -> 02:24.62]  we get two times
[02:24.98 -> 02:26.72]  the boat speed is equal to forty-four.
[02:27.30 -> 02:30.40]  So the boat speed becomes twenty-two kilometer per hour.
[02:31.10 -> 02:33.82]  Now that we know the boat's speed in still water,
[02:34.46 -> 02:36.30]  finding the current speed is very easy.
[02:36.98 -> 02:40.16]  Current speed is equal to downstream speed minus boat speed.
[02:40.64 -> 02:42.16]  That is twenty-six minus
[02:42.52 -> 02:43.02]  twenty-two,
[02:43.54 -> 02:45.36]  which gives us four kilometers per hour.
[02:45.92 -> 02:47.44]  Now the current speed is fixed.
[02:47.82 -> 02:49.16]  There is only one possible answer.
[02:49.60 -> 02:50.07]  So together,
[02:50.68 -> 02:52.70]  both statements are enough to answer the question.
[02:53.21 -> 02:53.94]  But individually,
[02:54.52 -> 02:55.66]  neither statement was enough.
[02:56.06 -> 02:56.36]  Hence,
[02:56.72 -> 02:58.32]  the correct answer is option C.
[02:59.00 -> 03:02.60]  Both statements together are sufficient, but neither statement alone is sufficient.
