[00:00.10 -> 00:01.00]  So welcome back again.
[00:01.54 -> 00:02.60]  Time for one more problem.
[00:03.10 -> 00:03.84]  Now in this problem,
[00:04.36 -> 00:08.16]  a car travels at a speed of one hundred kilometers per hour
[00:08.64 -> 00:09.38]  for four hours.
[00:09.96 -> 00:12.58]  The same distance must be covered in only two hours.
[00:13.10 -> 00:14.28]  What speed will the car need?
[00:14.84 -> 00:16.10]  This is what we need to find.
[00:16.64 -> 00:16.96]  First,
[00:17.30 -> 00:18.86]  we need to find the total distance.
[00:19.32 -> 00:22.28]  We know that distance is equal to speed multiplied by time.
[00:22.78 -> 00:25.94]  So distance is equal to one hundred multiplied by four.
[00:26.68 -> 00:28.30]  This gives us four hundred kilometers.
[00:28.78 -> 00:30.22]  Now this distance will remain the same.
[00:30.76 -> 00:33.70]  Only the time changes from four hours to two hours.
[00:34.04 -> 00:35.14]  Be very sure about this.
[00:35.56 -> 00:38.26]  Now speed is equal to distance divided by time.
[00:38.68 -> 00:40.08]  Putting the values in the formula,
[00:40.44 -> 00:48.48]  the required speed is equal to four hundred divided by two. This gives us two hundred kilometers per hour. We can also understand it in a simple way.
[00:48.88 -> 00:53.04]  The time becomes half, so the speed must become double to cover the same distance.
[00:53.46 -> 01:00.46]  Hence, the required speed is two hundred kilometer per hour. So the final answer will be option A, two hundred kilometer per hour.
