[00:00.12 -> 00:00.28]  So
[00:00.78 -> 00:01.68]  welcome back again.
[00:02.16 -> 00:03.24]  Time for one more problem.
[00:03.80 -> 00:07.52]  Now in this problem, a train runs at seventy-two kilometer per hour
[00:08.00 -> 00:08.74]  without halts,
[00:09.10 -> 00:12.50]  but its average speed with halts drops to sixty kilometer per hour.
[00:13.10 -> 00:14.02]  The question is
[00:14.56 -> 00:16.72]  asking us to find the stoppage time per hour.
[00:17.28 -> 00:18.12]  Think of it this way,
[00:18.56 -> 00:20.08]  in one hour without any halts,
[00:20.38 -> 00:22.36]  the train would cover seventy-two kilometer,
[00:22.92 -> 00:23.22]  but
[00:23.54 -> 00:24.46]  because of halts,
[00:24.82 -> 00:27.42]  it covers only sixty kilometer in one hour.
[00:27.92 -> 00:28.58]  The difference,
[00:29.04 -> 00:30.36]  seventy-two minus sixty,
[00:30.76 -> 00:31.96]  which is twelve kilometer,
[00:32.50 -> 00:36.02]  is the distance the train could have covered if it had not stopped.
[00:36.34 -> 00:39.90]  Now let us find how much time it takes to cover those twelve kilometer
[00:40.32 -> 00:43.40]  at the running speed of seventy-two kilometer per hour.
[00:43.76 -> 00:49.14]  We know time is equal to distance divided by speed, so time is equal to twelve divided by seventy-two hours.
[00:49.68 -> 00:51.82]  After simplifying, we get one by six hours.
[00:52.18 -> 00:53.74]  Now convert this into minutes.
[00:54.26 -> 00:58.72]  One by six hours is equal to sixty divided by six, which is ten minutes.
[00:59.08 -> 01:01.14]  So the train stops for ten minutes every hour.
[01:01.54 -> 01:04.22]  Hence, the correct answer is option C.
