[00:00.12 -> 00:00.30]  So
[00:00.80 -> 00:01.56]  welcome back again.
[00:01.98 -> 00:03.18]  Time for one more problem.
[00:03.62 -> 00:04.32]  Now, in this problem,
[00:04.78 -> 00:08.34]  we are given that the speeds of two trains are in the ratio of seven is to nine.
[00:08.88 -> 00:11.80]  Also, the faster train covers one hundred eighty kilometer
[00:12.24 -> 00:13.06]  in two hours.
[00:13.50 -> 00:14.94]  The question is asking us to find
[00:15.40 -> 00:16.80]  the speed of the slower train.
[00:17.16 -> 00:19.10]  Because the ratio is seven is to nine,
[00:19.54 -> 00:26.68]  let the speed of the slower train be seven x kilometer per hour, and let the speed of the faster train be nine x kilometer per hour.
[00:27.14 -> 00:28.30]  Now, we know the formula,
[00:28.80 -> 00:31.32]  speed is equal to distance divided by time.
[00:31.74 -> 00:32.64]  Putting the values,
[00:33.10 -> 00:36.56]  speed of the faster train is equal to one hundred eighty divided by two.
[00:37.06 -> 00:38.94]  This gives us ninety kilometer per hour.
[00:39.50 -> 00:49.12]  Now that we know the actual speed of the faster train, we can equate it with the value we took earlier, which is nine x. So nine x is equal to ninety, x is equal to ten.
[00:49.48 -> 00:53.78]  Now, speed of the slower train is equal to seven into x, that is equal to seven into ten.
[00:54.26 -> 01:01.30]  So the speed of the slower train is seventy kilometer per hour. Hence, the correct answer is option A.
