[00:00.10 -> 00:00.34]  So
[00:00.84 -> 00:01.74]  welcome back again.
[00:02.16 -> 00:03.18]  Time for one more problem.
[00:03.78 -> 00:04.50]  Now, in this problem,
[00:04.92 -> 00:09.00]  we are given that a train of length two hundred ten meter crosses a pole in fourteen seconds.
[00:09.56 -> 00:10.24]  The question is
[00:10.78 -> 00:13.44]  asking us to find the speed of the train in kilometer
[00:13.86 -> 00:14.24]  per hour.
[00:14.76 -> 00:15.22]  Now, first,
[00:15.60 -> 00:17.40]  let us understand one important concept.
[00:17.96 -> 00:19.30]  When a train crosses a pole,
[00:19.82 -> 00:22.42]  it covers a distance equal to its own length.
[00:22.80 -> 00:25.06]  So distance covered is two hundred ten meter,
[00:25.52 -> 00:27.84]  and time taken is fourteen seconds.
[00:28.40 -> 00:29.34]  Now, we know the formula.
[00:29.88 -> 00:32.08]  Speed is equal to distance divided by time.
[00:32.50 -> 00:33.38]  Putting the values,
[00:33.76 -> 00:36.10]  speed is equal to two hundred ten divided by fourteen.
[00:36.72 -> 00:37.76]  After simplifying this,
[00:38.10 -> 00:39.54]  we get fifteen meter per second.
[00:40.00 -> 00:45.88]  But the question is asking for the speed in kilometer per hour, not in meter per second.
[00:46.30 -> 00:57.26]  So we must convert the unit. We know one meter per second is equal to eighteen by five kilometer per hour. So fifteen into eighteen by five is fifty-four kilometers per hour.
[00:57.68 -> 01:01.00]  So the speed of the train is fifty-four kilometers per hour.
[01:01.54 -> 01:04.34]  Hence, the correct answer is option C.
