[00:00.12 -> 00:00.30]  So
[00:00.74 -> 00:01.88]  welcome back again.
[00:02.44 -> 00:03.78]  Time for one more problem.
[00:04.42 -> 00:05.16]  Now in this problem,
[00:05.62 -> 00:08.44]  we are given a flight of nine hundred kilometer.
[00:09.08 -> 00:12.75]  Bad weather reduces the average speed by three hundred kilometer per hour.
[00:13.30 -> 00:14.48]  Because speed becomes less,
[00:14.92 -> 00:16.78]  the flight takes thirty minutes more.
[00:17.12 -> 00:18.79]  Now, thirty minutes means half an hour,
[00:19.34 -> 00:31.20]  so we will write thirty minutes as zero point five hour. The question is asking us to find the original duration of the flight. That means before the speed was reduced, how much time was taken by the flight?
[00:31.52 -> 00:32.68]  Now let the actual speed
[00:33.12 -> 00:34.73]  be x kilometer per hour.
[00:35.42 -> 00:36.60]  Now we know the basic formula:
[00:37.16 -> 00:42.44]  time is equal to distance by speed. For actual time, distance is nine hundred and speed is x,
[00:42.98 -> 00:46.33]  so the time will be nine hundred by x. Got it? Perfect.
[00:46.86 -> 00:48.84]  Now speed is reduced by three hundred
[00:49.36 -> 00:49.98]  kilometer
[00:50.28 -> 00:50.72]  per hour,
[00:51.46 -> 00:52.66]  and actual speed is
[00:53.02 -> 00:53.08]  x.
[00:53.60 -> 00:54.82]  Reduction is three hundred,
[00:55.32 -> 00:57.70]  so new speed will be x minus three hundred.
[00:58.06 -> 00:59.76]  Now again, we use the same formula:
[01:00.20 -> 01:02.18]  time is equal to distance by speed.
[01:02.72 -> 01:03.33]  For new time,
[01:03.76 -> 01:05.18]  distance is still nine hundred
[01:05.52 -> 01:08.26]  and new speed is x minus three hundred,
[01:08.58 -> 01:11.86]  so new time will be nine hundred by x minus three hundred.
[01:12.22 -> 01:14.28]  Now here we are sure about one fact.
[01:14.78 -> 01:23.68]  The new time is zero point five hours more than the original time. So we can write new time is equal to original time plus zero point five.
[01:24.24 -> 01:30.04]  New time is nine hundred by x minus three hundred. Original time is nine hundred by x.
[01:30.56 -> 01:34.30]  So the equation becomes nine hundred by x minus three hundred
[01:34.80 -> 01:36.54]  is equal to nine hundred by
[01:36.86 -> 01:38.86]  x plus zero point five.
[01:39.32 -> 01:41.36]  Now, when we solve this equation carefully,
[01:41.96 -> 01:44.38]  we get x square minus three hundred,
[01:45.02 -> 01:52.08]  x minus five hundred forty thousand is equal to zero. Now factoring this equation, we get x minus nine hundred
[01:52.46 -> 01:54.10]  into x plus six hundred
[01:54.58 -> 01:55.60]  is equal to zero.
[01:56.06 -> 01:57.56]  So x can be nine hundred
[01:57.94 -> 01:59.20]  or x can be minus
[01:59.62 -> 02:00.22]  six hundred.
[02:00.74 -> 02:01.82]  Speed cannot be negative,
[02:02.32 -> 02:03.44]  so actual speed
[02:04.08 -> 02:04.40]  is
[02:05.04 -> 02:05.82]  nine hundred
[02:06.18 -> 02:06.82]  kilometer
[02:07.36 -> 02:07.74]  per hour.
[02:08.06 -> 02:08.78]  Now, the question is
[02:09.16 -> 02:10.38]  not asking actual speed.
[02:10.78 -> 02:12.80]  The question is asking actual duration.
[02:13.22 -> 02:14.10]  So again, we use
[02:14.54 -> 02:16.56]  time is equal to distance by speed.
[02:16.94 -> 02:20.34]  Here, distance is nine hundred and actual speed is nine hundred,
[02:20.68 -> 02:23.38]  so actual time will be nine hundred by nine hundred equal to one.
[02:23.76 -> 02:25.11]  So the original duration is
[02:25.54 -> 02:26.30]  one hour.
[02:26.76 -> 02:29.44]  Hence, the final answer will be one hour.
[02:29.92 -> 02:31.48]  So option B is the correct answer.
