[00:00.10 -> 00:01.32]  So welcome back again.
[00:02.04 -> 00:03.16]  It's time to solve
[00:03.58 -> 00:04.48]  one more problem.
[00:05.20 -> 00:08.68]  Now, in this problem, we have a train of length two hundred forty meter.
[00:09.32 -> 00:11.00]  It crosses a platform of length
[00:11.50 -> 00:13.70]  two hundred sixty meter in twenty-five seconds.
[00:14.20 -> 00:17.78]  The question is asking us to find the speed of the train in kilometer per hour.
[00:18.18 -> 00:19.48]  Now, the important point here is,
[00:19.94 -> 00:21.26]  crosses a platform.
[00:21.64 -> 00:22.86]  What does this actually mean?
[00:23.20 -> 00:28.52]  When a train completely crosses a platform, it has to cover its own length as well as the length of the platform.
[00:28.98 -> 00:30.42]  So the total distance covered will be
[00:30.88 -> 00:33.48]  train length plus platform length.
[00:33.90 -> 00:37.42]  That is two hundred forty plus two hundred sixty equals five hundred meter.
[00:37.80 -> 00:38.14]  Got it?
[00:38.64 -> 00:39.02]  Perfect.
[00:39.64 -> 00:41.98]  Now that we have the total distance, we can find the speed.
[00:42.30 -> 00:45.56]  We know speed equals distance divided by time.
[00:46.04 -> 00:54.08]  Putting the values, speed equals five hundred divided by twenty-five. After solving this, we get speed equals twenty meters per second.
[00:54.48 -> 01:01.22]  Now, the question is asking for the answer in kilometers per hour, so we convert it using twenty times eighteen by five.
[01:01.60 -> 01:04.20]  That gives us seventy-two kilometers per hour.
[01:04.96 -> 01:05.36]  Hence,
[01:05.76 -> 01:11.72]  the speed of the train is seventy-two kilometer per hour. So the correct option is option C.
