[00:00.12 -> 00:00.32]  So
[00:00.92 -> 00:01.98]  welcome back again.
[00:02.42 -> 00:03.84]  Time for one more problem.
[00:04.40 -> 00:08.16]  Now in this problem, a train travels at fifty kilometer per hour
[00:08.62 -> 00:10.60]  and reaches the station in four hours.
[00:11.20 -> 00:12.36]  The question is asking us
[00:12.82 -> 00:17.64]  how much extra time the train would take if its speed were only forty kilometers per hour.
[00:18.12 -> 00:18.42]  First,
[00:18.88 -> 00:20.24]  let us find the total distance.
[00:20.72 -> 00:22.08]  Distance is equal to speed
[00:22.54 -> 00:23.44]  multiplied by time.
[00:23.86 -> 00:25.40]  So distance is equal to fifty
[00:25.82 -> 00:26.82]  multiplied by four,
[00:27.34 -> 00:29.02]  which gives us two hundred kilometer.
[00:29.48 -> 00:31.68]  Now we know the distance, so we can find the new time.
[00:32.16 -> 00:34.40]  Time is equal to distance divided by speed.
[00:34.98 -> 00:38.36]  So the new time is two hundred divided by forty, which is five hours.
[00:38.90 -> 00:39.74]  But be careful here.
[00:40.14 -> 00:42.50]  The question is not asking for the new total time.
[00:42.98 -> 00:51.46]  It is asking how much longer the journey would take. So extra time is equal to five hours minus four hours, which is one hour.
[00:51.92 -> 00:52.28]  Hence,
[00:52.66 -> 00:56.20]  the final answer is one hour, which is option B.
