[00:00.12 -> 00:00.32]  So
[00:00.86 -> 00:01.60]  welcome back again.
[00:02.22 -> 00:03.24]  It's time to solve
[00:03.78 -> 00:04.74]  one more problem.
[00:05.22 -> 00:06.02]  Now, in this problem,
[00:06.60 -> 00:08.02]  a boat travels
[00:08.74 -> 00:10.34]  thirty-six kilometer
[00:10.88 -> 00:11.52]  downstream
[00:12.08 -> 00:14.08]  and thirty-six kilometer upstream.
[00:14.62 -> 00:18.38]  The speed of the boat in still water is fifteen kilometer per hour,
[00:19.00 -> 00:20.34]  and the speed of the stream is
[00:20.82 -> 00:22.20]  three kilometer per hour.
[00:23.16 -> 00:26.10]  We need to find the total time taken for the whole journey.
[00:26.54 -> 00:27.46]  Now, before solving,
[00:27.86 -> 00:34.70]  let us quickly recall one basic concept. The boat's speed in still water means the speed when there is no current.
[00:35.18 -> 00:37.42]  The stream helps the boat while moving downstream,
[00:37.88 -> 00:39.04]  so the speeds get added,
[00:39.42 -> 00:43.82]  and the stream slows down the boat while moving upstream, so the speeds get subtracted.
[00:44.30 -> 00:48.36]  This is the main idea of the question. So first, let us find both speeds.
[00:48.86 -> 00:57.36]  Downstream speed equals speed of boat plus stream speed, which is fifteen plus three equals eighteen kilometer per hour.
[00:57.92 -> 01:02.92]  Upstream speed equals speed of boat minus stream speed, which is fifteen minus three
[01:03.34 -> 01:05.84]  equals twelve kilometer per hour.
[01:06.48 -> 01:06.84]  Done.
[01:07.54 -> 01:08.82]  Now we have both speeds.
[01:09.34 -> 01:13.16]  The formula we need is time equals distance divided by speed.
[01:13.78 -> 01:14.96]  Now that we have the speeds,
[01:15.44 -> 01:16.98]  finding the time becomes easy.
[01:17.58 -> 01:23.16]  Time taken downstream equals thirty-six divided by eighteen equals two hours.
[01:23.74 -> 01:38.28]  Time taken upstream equals thirty-six divided by twelve equals three hours. Now only one step is left. The total time is two plus three equals five hours. So the final answer is five hours, which is option C.
