[00:00.10 -> 00:00.28]  So
[00:00.70 -> 00:01.64]  welcome back again.
[00:02.36 -> 00:04.22]  Time for one more problem.
[00:04.86 -> 00:06.54]  Now, in this problem, we are given that
[00:07.02 -> 00:09.34]  the speed of the boat in still water
[00:09.94 -> 00:11.20]  is 12 kilometer
[00:11.62 -> 00:12.14]  per hour.
[00:12.88 -> 00:14.40]  Also, the speed of the stream is
[00:15.08 -> 00:16.30]  3 kilometer per hour.
[00:16.98 -> 00:20.60]  The question is asking us to find the downstream speed of the boat.
[00:21.10 -> 00:22.00]  Now, before solving,
[00:22.46 -> 00:24.62]  let us understand one simple concept.
[00:25.08 -> 00:27.72]  Imagine the river is flowing in one direction.
[00:28.34 -> 00:32.12]  When the boat moves in the same direction as the river,
[00:32.56 -> 00:34.54]  the stream helps the boat move faster,
[00:35.22 -> 00:36.82]  so both the speeds get added.
[00:37.20 -> 00:38.70]  This is the basic rule to remember.
[00:39.30 -> 00:44.46]  Downstream speed is equal to speed in still water plus speed of the stream.
[00:44.80 -> 00:45.18]  Got it?
[00:45.70 -> 00:46.16]  Perfect.
[00:46.66 -> 00:49.18]  Now let us put the given values into the formula.
[00:49.76 -> 00:53.20]  Downstream speed is equal to 12 plus
[00:53.50 -> 00:53.60]  3.
[00:54.22 -> 00:57.78]  After adding them, we get 15 kilometer per hour.
[00:58.42 -> 01:06.32]  So the downstream speed of the boat is 15 kilometer per hour. Hence, the correct answer is option B.
