[00:00.10 -> 00:01.14]  So welcome back again.
[00:01.76 -> 00:03.24]  It's time to solve one more problem.
[00:03.70 -> 00:05.32]  Now in this problem, we are given that
[00:05.80 -> 00:06.46]  tan theta
[00:07.02 -> 00:09.10]  is equal to seven by twenty-four,
[00:09.72 -> 00:11.64]  and theta is an acute angle.
[00:12.24 -> 00:14.40]  The problem is asking us to find sec theta.
[00:15.04 -> 00:18.08]  So tan theta is equal to perpendicular upon base.
[00:18.54 -> 00:19.44]  Comparing this with
[00:19.84 -> 00:20.48]  tan theta
[00:20.98 -> 00:26.88]  equals seven by twenty-four, we get perpendicular equals seven and base equals twenty-four.
[00:27.34 -> 00:27.62]  Done.
[00:28.16 -> 00:31.18]  We now know two sides of the right triangle. We just need the third side.
[00:31.48 -> 00:32.74]  To find the hypotenuse,
[00:33.08 -> 00:36.78]  we will use the Pythagoras theorem. Hypotenuse equals square root of
[00:37.24 -> 00:40.22]  perpendicular square plus base square.
[00:40.62 -> 00:41.84]  Substitute the values.
[00:42.22 -> 00:46.28]  Hypotenuse equals square root of seven square plus twenty-four square.
[00:46.82 -> 00:50.74]  After simplifying, hypotenuse equals square root of six hundred twenty-five,
[00:51.14 -> 00:52.52]  which is equal to twenty-five.
[00:53.02 -> 00:56.32]  Now we know that sec theta equals hypotenuse upon base.
[00:56.80 -> 00:57.96]  Substitute the values.
[00:58.38 -> 01:00.76]  Sec theta equals twenty-five by twenty-four.
[01:01.48 -> 01:01.86]  Hence,
[01:02.24 -> 01:04.58]  the correct option is option C.
