[00:00.10 -> 00:00.96]  So welcome back again.
[00:01.50 -> 00:04.26]  It's time to solve one more problem. Now, in this problem,
[00:04.86 -> 00:05.70]  tan theta
[00:06.54 -> 00:08.44]  is equal to seven by twenty-four,
[00:09.00 -> 00:09.56]  and theta
[00:10.00 -> 00:11.30]  is an acute angle.
[00:11.70 -> 00:12.40]  We need to find
[00:12.90 -> 00:14.00]  sec theta.
[00:14.78 -> 00:18.22]  We know that tan theta is perpendicular divided by base.
[00:18.70 -> 00:18.82]  So
[00:19.24 -> 00:20.24]  when tan theta is
[00:20.60 -> 00:21.50]  seven by twenty-four,
[00:21.92 -> 00:26.20]  we can take the perpendicular as seven and the base as twenty-four.
[00:26.68 -> 00:28.58]  Do these have to be the actual side lengths?
[00:29.16 -> 00:29.36]  No.
[00:30.02 -> 00:32.14]  Since tan gives us a ratio,
[00:32.54 -> 00:35.22]  we can take any sides in the same ratio.
[00:35.74 -> 00:38.50]  Taking seven and twenty-four simply makes our calculation easy.
[00:39.08 -> 00:42.02]  We now know two sides of the right triangle, but sec theta
[00:42.52 -> 00:44.58]  needs the hypotenuse and the base.
[00:45.02 -> 00:47.48]  So first, we need to find the hypotenuse.
[00:48.00 -> 00:55.44]  Using the Pythagoras theorem, hypotenuse is equal to the square root of perpendicular square plus base square.
[00:55.98 -> 01:09.30]  Putting the values, we get the square root of seven square plus twenty-four square. This becomes the square root of forty-nine plus five hundred seventy-six, which is the square root of six hundred twenty-five.
[01:09.88 -> 01:15.26]  So the hypotenuse is twenty-five. Now, sec theta is hypotenuse divided by base.
[01:15.88 -> 01:16.40]  Therefore,
[01:16.82 -> 01:23.58]  sec theta is twenty-five by twenty-four. Since theta is an acute angle, we take the positive value.
[01:24.34 -> 01:24.78]  Hence,
[01:25.48 -> 01:31.72]  sec theta is twenty-five by twenty-four. So the correct option is C.
