[00:00.10 → 00:01.38]  So welcome back again.
[00:01.92 → 00:03.34]  Time for one more problem.
[00:03.84 → 00:08.14]  Now in this problem, a delivery van travels for two hours at forty-five kilometers per hour
[00:08.70 → 00:09.72]  and then for three hours
[00:10.22 → 00:11.84]  at sixty kilometers per hour.
[00:12.36 → 00:13.16]  The question is
[00:13.60 → 00:14.66]  asking us to find
[00:15.10 → 00:17.10]  the average speed of the whole journey.
[00:17.56 → 00:18.00]  Now, first,
[00:18.38 → 00:20.70]  let us find the distance covered in each part.
[00:21.24 → 00:22.10]  We know the formula:
[00:22.68 → 00:24.72]  distance is equal to speed into time.
[00:25.28 → 00:26.08]  For the first part,
[00:26.46 → 00:28.68]  distance is equal to forty-five into two.
[00:29.26 → 00:31.28]  This gives us ninety kilometers.
[00:31.72 → 00:36.18]  Now the distance covered in the second part is equal to sixty into three.
[00:36.76 → 00:39.02]  This gives us one hundred and eighty kilometers.
[00:39.42 → 00:40.98]  Now that we know both the distances,
[00:41.44 → 00:42.90]  we can find the total distance.
[00:43.32 → 00:47.12]  Total distance is equal to ninety plus one hundred and eighty.
[00:47.62 → 00:51.44]  This gives us two hundred and seventy kilometers. Now this part is completed.
[00:51.80 → 00:53.36]  Let us find the total time taken.
[00:53.76 → 00:58.50]  Total time is equal to two hours of first part plus three hours of second part.
[00:58.90 → 01:00.12]  This gives us five hours.
[01:00.54 → 01:01.68]  Now we have everything we need.
[01:02.16 → 01:05.40]  Average speed is equal to total distance divided by total time.
[01:05.86 → 01:06.68]  Putting the values,
[01:07.04 → 01:11.64]  average speed is equal to two hundred and seventy divided by five. After simplifying this,
[01:12.08 → 01:18.20]  we get fifty-four kilometers per hour. So the average speed of the delivery van is fifty-four kilometers per hour.
[01:18.68 → 01:21.64]  Hence, the correct answer is option C.
