[00:00.12 -> 00:00.28]  So
[00:00.72 -> 00:01.42]  welcome back again.
[00:01.78 -> 00:02.78]  Time for one more problem.
[00:03.32 -> 00:04.08]  Now, in this problem,
[00:04.60 -> 00:06.64]  we are given that a vehicle travels one hundred
[00:07.16 -> 00:08.34]  twenty kilometer
[00:08.84 -> 00:10.50]  at sixty kilometer per hour,
[00:11.04 -> 00:12.40]  then it travels another one hundred
[00:12.70 -> 00:13.60]  eighty kilometer
[00:14.10 -> 00:15.76]  at ninety kilometer per hour.
[00:16.36 -> 00:19.72]  The question is asking us to find the average speed for the complete journey.
[00:20.38 -> 00:23.86]  Average speed is equal to total distance divided by total time.
[00:24.34 -> 00:24.80]  So first,
[00:25.16 -> 00:27.60]  let us find the time taken for each part of the journey.
[00:28.14 -> 00:30.92]  We know time is equal to distance divided by speed.
[00:31.36 -> 00:32.14]  For the first part,
[00:32.50 -> 00:35.46]  time is equal to one hundred twenty divided by sixty.
[00:35.94 -> 00:38.28]  This gives us two hours. For the second part,
[00:38.76 -> 00:41.64]  time is equal to one hundred eighty divided by ninety.
[00:42.14 -> 00:43.54]  This also gives us two hours.
[00:43.98 -> 00:53.52]  So the total time is equal to two plus two, four hours, and the total distance is equal to one hundred twenty plus one hundred eighty.
[00:54.04 -> 00:56.84]  That is equal to three hundred kilometers.
[00:57.34 -> 00:58.50]  Now we have everything we need.
[00:59.14 -> 01:02.56]  Average speed is equal to total distance divided by total time.
[01:03.00 -> 01:03.88]  Putting the values,
[01:04.38 -> 01:07.70]  average speed is equal to three hundred divided by four.
[01:08.28 -> 01:09.38]  After simplifying this,
[01:09.86 -> 01:12.98]  we get seventy-five kilometer per hour.
[01:13.40 -> 01:18.68]  So the average speed for the complete journey is seventy-five kilometer per hour. Hence,
[01:19.08 -> 01:21.30]  the correct answer is option D.
