[00:00.10 -> 00:00.24]  So
[00:00.72 -> 00:01.34]  welcome back.
[00:01.88 -> 00:04.34]  I hope you have gone through the theory part for this topic.
[00:04.88 -> 00:06.32]  Now it's time to solve some problems.
[00:06.92 -> 00:11.22]  Now, in this problem, we are given that a man covers two point four kilometer in eighteen minutes.
[00:11.66 -> 00:15.22]  The question is asking us to find the average speed of the man. Now first,
[00:15.62 -> 00:17.28]  let us note down the given values.
[00:17.76 -> 00:20.08]  Distance covered is two point four kilometer.
[00:20.70 -> 00:21.98]  Time taken is eighteen minutes,
[00:22.36 -> 00:24.40]  but the speed is asked in kilometer per hour,
[00:24.98 -> 00:26.48]  while the time is given in minutes.
[00:26.98 -> 00:28.28]  So before using the formula,
[00:28.84 -> 00:31.24]  we must first convert the time into hours.
[00:31.76 -> 00:34.72]  We know that one hour is equal to sixty minutes,
[00:35.06 -> 00:38.10]  so eighteen minutes is equal to eighteen divided by sixty hours.
[00:38.66 -> 00:39.74]  After simplifying this,
[00:40.12 -> 00:42.10]  we get three by ten hour.
[00:42.50 -> 00:44.00]  Now we know the basic formula.
[00:44.54 -> 00:48.38]  Average speed is equal to total distance covered divided by total time taken.
[00:48.78 -> 00:49.66]  Putting the values,
[00:50.10 -> 00:53.36]  average speed is equal to two point four divided by three by ten.
[00:53.82 -> 00:57.14]  Dividing by a fraction is the same as multiplying by its reciprocal.
[00:57.54 -> 01:09.26]  So two point four divided by three by ten becomes two point four into ten by three. After simplifying this, we get eight kilometer per hour. So the average speed of the man is eight kilometer per hour.
[01:09.74 -> 01:12.24]  Hence the correct answer is option D.
