[00:00.12 -> 00:00.34]  So
[00:00.78 -> 00:01.68]  welcome back again.
[00:02.26 -> 00:09.24]  It's time to solve one more problem. Now, in this problem, we are given that a train is two hundred meters long and it is running at fifty-four kilometers per hour.
[00:09.90 -> 00:11.94]  The train crosses a platform in thirty seconds.
[00:12.44 -> 00:15.40]  The question is asking us to find the length of the platform.
[00:15.86 -> 00:17.22]  Now, the important words here are,
[00:17.60 -> 00:19.08]  "crosses a platform."
[00:19.86 -> 00:20.96]  What does this actually mean?
[00:21.36 -> 00:22.84]  When a train crosses a platform,
[00:23.28 -> 00:24.92]  it does not cover only the platform.
[00:25.36 -> 00:29.04]  The entire train has to enter the platform and then completely come out of it.
[00:29.48 -> 00:33.50]  So the total distance covered is length of the train plus length of the platform.
[00:34.00 -> 00:36.04]  This is the basic concept to remember.
[00:36.44 -> 00:38.82]  Now, let us assume the length of the platform is
[00:39.14 -> 00:39.66]  x meter.
[00:39.96 -> 00:43.26]  Before using the formula, let us convert the speed into meter per second.
[00:43.68 -> 00:47.54]  Fifty-four multiplied by five divided by eighteen gives us fifteen meter per second.
[00:48.00 -> 00:48.34]  Done.
[00:48.74 -> 00:50.50]  Now we have all the values we need.
[00:50.94 -> 00:54.70]  We know distance equals speed multiplied by time.
[00:55.06 -> 01:03.58]  So distance equals fifteen multiplied by thirty equals four hundred fifty meters. Now that we have found the total distance, we can use it in the next step.
[01:03.98 -> 01:07.84]  Since length of train plus length of platform equals total distance,
[01:08.20 -> 01:20.16]  we get two hundred plus x equals four hundred fifty. After simplifying this, we get x equals four hundred fifty minus two hundred, which is two hundred fifty meters. Hence, the length of the
[01:20.52 -> 01:24.62]  platform is two hundred fifty meter, so the final answer will be option B.
