[00:00.10 -> 00:01.56]  So welcome back again.
[00:02.04 -> 00:03.20]  Time for one more problem.
[00:03.52 -> 00:08.48]  Now in this problem, we are given that for the same route, the ratio of the times taken by two cars is four is to five.
[00:08.94 -> 00:09.70]  The question is
[00:10.22 -> 00:12.42]  asking us to find the ratio of their speeds.
[00:12.78 -> 00:14.76]  Now, since both cars are traveling on the same route,
[00:15.16 -> 00:17.28]  the distance covered by both cars is the same.
[00:17.70 -> 00:19.56]  So let the common distance be x kilometers.
[00:20.02 -> 00:22.16]  Also, because the time ratio is four is to five,
[00:22.46 -> 00:27.30]  let the time taken by car A be 4y hours, and let the time taken by car B be 5y hours.
[00:27.76 -> 00:28.64]  Now we know the formula,
[00:29.20 -> 00:31.26]  speed is equal to distance divided by time.
[00:31.80 -> 00:36.82]  So the speed of car A is x divided by 4y and the speed of car B is x divided by
[00:37.14 -> 00:37.42]  5y.
[00:37.94 -> 00:40.02]  Now let us find the ratio of their speeds.
[00:40.34 -> 00:43.82]  Speed ratio is equal to x divided by 4y is to x divided by
[00:44.14 -> 00:44.46]  5y.
[00:44.86 -> 00:45.78]  To simplify this,
[00:46.14 -> 00:48.50]  we divide the first fraction by the second fraction.
[00:48.98 -> 00:52.90]  That becomes x divided by 4y into 5y divided by x.
[00:53.32 -> 00:56.48]  Here x gets canceled with x and y gets canceled with y,
[00:56.94 -> 00:58.34]  so we are left with five by four.
[00:58.76 -> 01:05.10]  Hence, the ratio of the speeds is five is to four. So the final answer is five is to four. Hence,
[01:05.44 -> 01:07.00]  the correct option is option B.
