[00:00.10 -> 00:01.12]  So welcome back again.
[00:01.74 -> 00:02.84]  Time for one more problem.
[00:03.36 -> 00:07.98]  Now, in this problem, we are given that one cyclist is twenty-four kilometer behind another cyclist.
[00:08.48 -> 00:11.64]  The speed of the faster cyclist is fifty-four kilometer per hour.
[00:12.26 -> 00:15.14]  The speed of the slower cyclist is forty-two kilometer
[00:15.64 -> 00:16.28]  per hour.
[00:16.74 -> 00:18.16]  The question is asking us to find
[00:18.56 -> 00:22.62]  how long the faster cyclist will take to overtake the slower cyclist.
[00:22.94 -> 00:25.10]  Now, let us understand what is actually happening.
[00:25.54 -> 00:26.18]  In one hour,
[00:26.62 -> 00:30.14]  the slower cyclist moves forty-two kilometer.
[00:30.78 -> 00:31.52]  At the same time,
[00:31.92 -> 00:34.78]  the faster cyclist moves fifty-four kilometer.
[00:35.20 -> 00:38.06]  The faster cyclist covers the extra distance,
[00:38.40 -> 00:40.10]  which is fifty-four minus forty-two.
[00:40.58 -> 00:41.90]  That is twelve kilometer.
[00:42.30 -> 00:47.20]  So in one hour, the gap reduces by only twelve kilometer.
[00:47.66 -> 00:48.02]  Got it?
[00:48.38 -> 00:48.76]  Perfect.
[00:49.16 -> 00:51.68]  Now, the total gap between them is twenty-four kilometer.
[00:52.10 -> 00:55.10]  If twelve kilometer of the gap is reduced in one hour,
[00:55.42 -> 01:00.54]  then one kilometer of the gap will be reduced in one divided by twelve hour.
[01:01.00 -> 01:01.44]  Therefore,
[01:01.80 -> 01:03.64]  to reduce a gap of twenty-four kilometer,
[01:04.00 -> 01:08.90]  the time taken will be twenty-four into one by twelve. That is equal to twenty-four
[01:09.32 -> 01:10.46]  divided by twelve.
[01:10.88 -> 01:12.10]  This gives us two hours.
[01:12.48 -> 01:15.44]  Now, let me tell you the formula for these types of questions.
[01:15.98 -> 01:23.06]  Whenever two objects are moving in the same direction, always use the difference of their speeds. This is called the relative speed.
[01:23.36 -> 01:27.20]  So relative speed equals fifty-four minus forty-two
[01:27.88 -> 01:31.82]  equals twelve kilometer per hour. The distance to be covered is twenty-four
[01:32.14 -> 01:33.60]  kilometer. Now, simply use the
[01:33.92 -> 01:48.02]  formula, time equals distance divided by relative speed. Time equals twenty-four divided by twelve equals two hours. So the faster cyclist will overtake the slower cyclist after two hours. Hence, the correct answer is option
[01:48.36 -> 01:48.38]  B.
