[00:00.10 -> 00:01.46]  So welcome back again.
[00:02.10 -> 00:03.28]  Time for one more problem.
[00:03.80 -> 00:04.60]  Now in this problem,
[00:05.02 -> 00:05.86]  we are given that
[00:06.56 -> 00:08.86]  a traveler covers the first half of the journey
[00:09.42 -> 00:11.38]  at forty-eight kilometers per hour.
[00:11.94 -> 00:15.84]  The second half of the journey is covered at seventy-two kilometers per hour.
[00:16.40 -> 00:18.00]  The question is asking us to find
[00:18.44 -> 00:18.56]  the
[00:18.86 -> 00:20.98]  average speed for the whole journey.
[00:21.42 -> 00:24.36]  Now, let us solve this by assuming the total distance.
[00:24.84 -> 00:27.00]  Let the total distance be X kilometers.
[00:27.46 -> 00:30.26]  Since the journey is divided into two equal halves,
[00:30.72 -> 00:33.84]  the distance covered in each half will be X by two
[00:34.24 -> 00:34.98]  kilometers.
[00:35.40 -> 00:37.50]  Now let us find the time taken for each half.
[00:38.00 -> 00:38.88]  We know the formula.
[00:39.44 -> 00:43.08]  Time is equal to distance divided by speed.
[00:43.64 -> 00:45.92]  So the time taken for the first half is
[00:46.26 -> 00:48.54]  X by two divided by forty-eight,
[00:48.96 -> 00:51.68]  which is X by ninety-six hours.
[00:52.24 -> 00:54.62]  Now let us find the time taken for the second half.
[00:55.10 -> 01:01.88]  Time is equal to X by two divided by seventy-two, which is X by one hundred forty-four hours.
[01:02.38 -> 01:03.86]  Now this part is completed.
[01:04.20 -> 01:08.70]  We know the time taken for both halves. So let us find the total time.
[01:09.34 -> 01:13.44]  Total time is equal to X by ninety-six plus X by one hundred forty-four,
[01:14.10 -> 01:14.56]  which is five
[01:14.86 -> 01:16.40]  X by two hundred eighty-eight hours.
[01:16.84 -> 01:18.02]  Now we have everything we need.
[01:18.64 -> 01:22.22]  Average speed is equal to total distance divided by total time.
[01:22.66 -> 01:23.58]  Putting the values,
[01:24.12 -> 01:49.48]  average speed is equal to total distance X divided by total time five X by two hundred eighty-eight. The X gets canceled. So average speed is equal to the two hundred eighty-eight divided by five. After simplifying this, we get fifty-seven point six kilometers per hour. So the average speed of the traveler is fifty-seven point six kilometers per hour. Hence, the correct answer is option D.
