[00:00.10 -> 00:01.16]  So welcome back again.
[00:01.76 -> 00:02.86]  Time for one more problem.
[00:03.50 -> 00:04.26]  Now in this problem,
[00:04.84 -> 00:07.92]  we are given that a car is moving at twenty meters per second.
[00:08.44 -> 00:11.78]  The question is asking us to find its speed in kilometers per hour.
[00:12.32 -> 00:12.80]  Now first,
[00:13.34 -> 00:14.82]  let us note down the given value.
[00:15.34 -> 00:18.02]  Speed of the car is twenty meters per second.
[00:18.52 -> 00:21.00]  We need to find the speed in kilometers per hour.
[00:21.54 -> 00:24.08]  We should know one important conversion.
[00:24.66 -> 00:27.82]  To convert meter per second into kilometer per hour,
[00:28.54 -> 00:30.30]  we multiply by eighteen by five,
[00:30.68 -> 00:32.06]  or simply three point six.
[00:32.44 -> 00:34.90]  Now let us substitute the given value.
[00:35.50 -> 00:39.86]  Twenty meters per second is equal to twenty into eighteen by five kilometers per hour.
[00:40.48 -> 00:49.98]  After simplifying this, we get seventy-two kilometers per hour. Therefore, the speed of the car is seventy-two kilometers per hour. Hence, the final answer is option C.
