[00:00.12 -> 00:01.64]  So welcome back again.
[00:02.04 -> 00:03.14]  Time for one more problem.
[00:03.68 -> 00:04.44]  Now in this problem,
[00:04.90 -> 00:08.38]  we are given that a car covers two equal distances.
[00:08.92 -> 00:12.26]  The first part is covered at forty kilometers per hour.
[00:12.90 -> 00:16.40]  The second part is covered at sixty kilometers per hour.
[00:16.94 -> 00:20.32]  The question is asking us to find the average speed for the whole journey.
[00:20.82 -> 00:22.42]  Since both distances are equal,
[00:22.96 -> 00:25.40]  let each distance be x kilometers.
[00:25.86 -> 00:27.04]  Now we know the formula.
[00:27.60 -> 00:30.18]  Time is equal to distance divided by speed.
[00:30.66 -> 00:35.98]  So time taken to cover the first part is the distance covered in the first part,
[00:36.40 -> 00:36.90]  which is
[00:37.30 -> 00:40.16]  x, divided by the speed in the first part,
[00:40.56 -> 00:41.36]  which is forty.
[00:41.84 -> 00:43.50]  That is x by forty hours.
[00:44.40 -> 00:44.94]  Similarly,
[00:45.44 -> 00:50.72]  time taken to cover the second part is the distance covered in the second part, which is
[00:51.12 -> 00:55.40]  x divided by the speed in the second part, which is sixty.
[00:55.72 -> 00:57.52]  That is x by sixty hours.
[00:57.94 -> 01:01.54]  Therefore, total time is x by forty plus x by sixty,
[01:01.88 -> 01:04.28]  which simplifies to x by twenty-four hours.
[01:04.62 -> 01:06.74]  The total distance is x plus x.
[01:07.04 -> 01:08.36]  That is two x kilometers.
[01:08.76 -> 01:10.58]  Now we know the average speed formula.
[01:11.12 -> 01:15.60]  Average speed is equal to total distance divided by total time.
[01:15.98 -> 01:17.02]  Putting the values,
[01:17.46 -> 01:21.04]  average speed is equal to two x divided by x by twenty-four.
[01:21.60 -> 01:31.68]  The x gets canceled and we are left with two into twenty-four, which is forty-eight kilometers per hour. So the average speed for the whole journey is forty-eight kilometers per hour.
[01:32.24 -> 01:34.34]  Hence, the correct answer is option D.
