[00:00.10 -> 00:01.00]  So welcome back again.
[00:01.54 -> 00:04.06]  It's time to solve one more problem. Now in this problem,
[00:04.70 -> 00:05.42]  we need to find
[00:05.92 -> 00:08.06]  sine square 30 degree plus cos
[00:08.54 -> 00:08.80]  square
[00:09.12 -> 00:09.54]  30 degree.
[00:09.94 -> 00:12.86]  The question also tells us to use a trigonometric identity.
[00:13.66 -> 00:15.62]  We know one very important identity,
[00:16.40 -> 00:19.48]  sine square theta plus cos square
[00:19.96 -> 00:20.34]  theta
[00:20.80 -> 00:21.92]  is equal to one.
[00:22.40 -> 00:23.30]  Notice one thing,
[00:23.80 -> 00:24.70]  in the identity,
[00:25.10 -> 00:26.20]  the angle is theta.
[00:26.62 -> 00:27.70]  In our question, the angle is
[00:28.02 -> 00:28.58]  30 degree.
[00:28.98 -> 00:29.92]  That is perfectly fine.
[00:30.44 -> 00:33.58]  We can simply replace theta with 30 degree.
[00:34.06 -> 00:40.04]  So sine square 30 degree plus cos square 30 degree becomes one.
[00:40.86 -> 00:44.52]  No calculation is needed because the expression exactly matches the identity.
[00:45.38 -> 00:45.74]  Hence,
[00:46.16 -> 00:51.64]  the required answer is one. So the correct option is option C.
