[00:00.12 -> 00:01.56]  So welcome back again.
[00:02.10 -> 00:03.28]  Time for one more problem.
[00:03.84 -> 00:04.60]  Now in this problem,
[00:05.06 -> 00:07.52]  a bus travels at eighty kilometer per hour
[00:08.06 -> 00:08.80]  for six hours.
[00:09.24 -> 00:12.16]  The same distance must be covered in only four point five hours.
[00:12.64 -> 00:13.56]  What do we need to find?
[00:14.06 -> 00:15.66]  We need to find the new speed of the bus.
[00:16.26 -> 00:18.44]  First, let us find the distance covered by the bus.
[00:19.10 -> 00:21.30]  Distance is equal to speed multiplied by time.
[00:21.78 -> 00:24.42]  So distance is equal to eighty multiplied by six,
[00:25.00 -> 00:27.08]  which gives us four hundred eighty kilometer.
[00:27.80 -> 00:30.88]  Now that we know the distance, we can find the required speed.
[00:31.46 -> 00:33.52]  Speed is equal to distance divided by time.
[00:34.06 -> 00:37.88]  So the required speed is four hundred eighty divided by four point five.
[00:38.48 -> 00:39.28]  After solving this,
[00:39.70 -> 00:42.98]  we get one hundred six point six seven kilometer per hour.
[00:43.42 -> 00:49.24]  Hence, the final answer is one hundred six point six seven kilometer per hour, which is option C.
