[00:00.10 -> 00:01.50]  So welcome back again.
[00:02.18 -> 00:03.66]  Time for one more problem.
[00:04.32 -> 00:05.06]  Now, in this problem,
[00:05.56 -> 00:06.40]  we are given that
[00:06.84 -> 00:07.70]  two delivery vans
[00:08.08 -> 00:09.50]  start from the same depot.
[00:10.16 -> 00:13.20]  The speed of the first delivery van is
[00:13.64 -> 00:15.04]  thirty-eight kilometer
[00:15.58 -> 00:16.02]  per hour.
[00:16.62 -> 00:18.16]  The speed of the second delivery van
[00:18.74 -> 00:21.46]  is forty-seven kilometer per hour.
[00:22.00 -> 00:24.06]  Both vans move in opposite directions.
[00:24.38 -> 00:32.80]  The question is asking us to find after how many hours they will be two hundred fifty-five kilometer apart. Now, let us understand one important concept.
[00:33.20 -> 00:35.54]  When two objects move in opposite directions,
[00:36.00 -> 00:37.66]  the distance between them keeps increasing.
[00:38.28 -> 00:38.82]  Every hour,
[00:39.28 -> 00:41.50]  the first van moves thirty-eight
[00:41.84 -> 00:42.56]  kilometer.
[00:43.10 -> 00:43.98]  At the same time,
[00:44.44 -> 00:46.84]  the second van moves forty-seven kilometer.
[00:47.40 -> 00:54.82]  So after one hour, the distance between them increases by thirty-eight plus forty-seven, that is eighty-five kilometer.
[00:55.30 -> 00:57.82]  This is called the relative speed.
[00:58.22 -> 01:01.50]  So relative speed is equal to thirty-eight plus forty-seven.
[01:01.98 -> 01:04.20]  That gives us eighty-five kilometer per hour.
[01:04.72 -> 01:05.18]  Got it?
[01:05.68 -> 01:06.12]  Perfect.
[01:06.44 -> 01:07.44]  Now we need to find the time.
[01:07.98 -> 01:08.84]  We know the formula.
[01:09.34 -> 01:12.86]  Time is equal to distance divided by relative speed,
[01:13.44 -> 01:15.98]  which is two hundred fifty-five divided by eighty-five.
[01:16.42 -> 01:17.66]  After simplifying this,
[01:17.98 -> 01:19.06]  we get three hours.
[01:19.40 -> 01:24.40]  So after three hours, the two delivery vans will be two hundred fifty-five kilometer apart.
[01:24.78 -> 01:27.22]  Hence, the correct answer is option A.
