[00:00.10 -> 00:00.28]  So
[00:00.62 -> 00:01.34]  welcome back again.
[00:01.96 -> 00:03.58]  Time for one more problem.
[00:04.22 -> 00:05.96]  Now in this problem, a postman traveled
[00:06.42 -> 00:09.14]  total sixty-five kilometer in eight hours.
[00:09.70 -> 00:10.94]  He did some part by walking
[00:11.38 -> 00:12.76]  and some part by cycling.
[00:13.36 -> 00:15.36]  Walking speed is five kilometer per hour.
[00:15.98 -> 00:16.86]  Cycling speed is
[00:17.28 -> 00:18.64]  ten kilometer per hour.
[00:19.20 -> 00:20.58]  The question is asking us to find
[00:21.00 -> 00:22.20]  the cycling distance.
[00:22.86 -> 00:25.00]  Let us take walking distance as X kilometer.
[00:25.58 -> 00:29.52]  So cycling distance will be sixty-five minus X kilometer.
[00:30.04 -> 00:31.44]  Now, we know one basic formula,
[00:31.90 -> 00:34.26]  time is equal to distance divided by speed.
[00:34.62 -> 00:37.20]  So time taken while walking will be X divided by five,
[00:37.66 -> 00:41.92]  and time taken while cycling will be sixty-five minus X divided by ten.
[00:42.50 -> 00:48.92]  Total time is given as eight hours, so we can write X by five plus sixty-five minus X by ten is equal to eight.
[00:49.34 -> 00:50.78]  Now, take LCM as ten.
[00:51.30 -> 00:57.14]  So this becomes two x plus sixty-five minus X divided by ten is equal to eight.
[00:57.76 -> 01:02.22]  After simplifying this, we get X plus sixty-five is equal to eighty.
[01:02.76 -> 01:04.22]  So X is equal to fifteen.
[01:04.64 -> 01:07.14]  That means walking distance is fifteen kilometer.
[01:07.62 -> 01:10.02]  So cycling distance is sixty-five minus fifteen,
[01:10.40 -> 01:11.70]  which is fifty kilometer.
[01:12.18 -> 01:14.50]  Hence, the final answer will be option A,
[01:15.00 -> 01:15.80]  fifty kilometer.
