[00:00.10 -> 00:01.12]  So welcome back again.
[00:01.64 -> 00:02.66]  Time for one more problem.
[00:03.00 -> 00:05.62]  Now in this problem, we are given that the length of the train is
[00:06.12 -> 00:07.54]  one hundred sixty meter,
[00:07.88 -> 00:09.66]  the length of the bridge is two hundred meter,
[00:10.06 -> 00:13.06]  and the train crosses the bridge completely in eighteen seconds.
[00:13.56 -> 00:16.32]  The question is asking us to find the speed of the train.
[00:16.64 -> 00:19.30]  Now, let us understand one important concept first.
[00:19.76 -> 00:24.42]  When a train crosses a bridge completely, it does not cover only its own length.
[00:24.84 -> 00:28.28]  It has to cover the length of the train as well as the length of the bridge.
[00:28.58 -> 00:32.34]  So the total distance covered is length of the train plus length of the bridge.
[00:32.72 -> 00:33.56]  Putting the values,
[00:33.92 -> 00:36.72]  total distance is equal to one hundred sixty
[00:37.14 -> 00:40.84]  plus two hundred. This gives us three hundred sixty meter. Got it?
[00:41.18 -> 00:41.54]  Perfect.
[00:41.96 -> 00:47.10]  Now that we know the total distance, and we know speed is equal to distance divided by time.
[00:47.52 -> 00:48.36]  Putting the values,
[00:48.70 -> 00:51.46]  speed is equal to three hundred sixty divided by eighteen.
[00:51.96 -> 00:56.04]  After simplifying this, we get twenty meters per second. Now be careful here,
[00:56.52 -> 01:00.74]  the options are given in kilometer per hour, not in meter per second,
[01:01.26 -> 01:02.48]  so we must convert the speed.
[01:02.92 -> 01:09.74]  We know speed in kilometer per hour is equal to speed in meter per second into eighteen divided by five.
[01:10.24 -> 01:11.12]  Putting the values,
[01:11.46 -> 01:14.58]  speed is equal to twenty into eighteen divided by five.
[01:14.94 -> 01:17.10]  This gives us seventy-two kilometers per hour.
[01:17.54 -> 01:23.88]  So the speed of the train is seventy-two kilometers per hour. Hence, the correct answer is option C.
