[00:00.10 -> 00:01.34]  So welcome back again.
[00:02.00 -> 00:04.68]  It's time to solve one more problem.
[00:05.18 -> 00:06.50]  Now let us first read the question.
[00:07.00 -> 00:14.54]  A train crosses a one hundred fifty-meter platform in twenty seconds and a two hundred fifty-meter platform in twenty-five seconds.
[00:14.94 -> 00:16.46]  We need to find the speed of the train.
[00:16.96 -> 00:21.70]  Given platform one length equals one hundred fifty meters, time to cross platform one equals twenty seconds.
[00:22.20 -> 00:24.44]  Platform two length equals two hundred fifty meter.
[00:24.98 -> 00:27.32]  Time to cross platform two equals twenty-five seconds.
[00:27.82 -> 00:28.04]  Let
[00:28.64 -> 00:30.60]  length of the train equals L meter.
[00:31.22 -> 00:33.58]  Speed of the train equals S meter per second.
[00:34.04 -> 00:34.22]  Now,
[00:34.78 -> 00:38.04]  when a train crosses a platform, it does not cover only the platform.
[00:38.56 -> 00:40.50]  The entire train has to enter the platform,
[00:40.92 -> 00:42.58]  and then the last coach has to come out.
[00:43.12 -> 00:49.42]  So the total distance covered is distance equals length of train plus length of platform.
[00:49.86 -> 00:51.28]  So distance equals
[00:51.66 -> 00:57.54]  L plus one hundred fifty. Also, we know speed equals distance divided by time.
[00:58.04 -> 00:59.18]  Now, for the first platform,
[00:59.72 -> 01:10.86]  time taken equals twenty, so S equals L plus one hundred fifty divided by twenty. So twenty S equals L plus one hundred fifty. Now, for the second platform,
[01:11.42 -> 01:15.88]  time taken equals twenty-five seconds. S equals L plus two hundred fifty
[01:16.66 -> 01:20.98]  divided by twenty-five. Sorry. Twenty-five S equals L plus two hundred
[01:21.78 -> 01:25.16]  fifty. Now subtract equation one from equation two. Twenty-five
[01:25.56 -> 01:26.34]  S minus twenty
[01:26.78 -> 01:28.38]  S equals L plus two hundred fifty
[01:29.06 -> 01:34.56]  minus L plus one hundred fifty. The train length gets canceled automatically.
[01:35.10 -> 01:37.78]  Five S equals one hundred meter.
[01:38.66 -> 01:38.70]  S
[01:39.06 -> 01:47.20]  equals twenty meter per second. Hence, the speed of the train is twenty meter per second. So the correct option is option D.
