[00:00.14 -> 00:01.72]  So welcome back again.
[00:02.40 -> 00:03.44]  It's time to solve
[00:04.00 -> 00:04.92]  one more problem.
[00:05.34 -> 00:06.16]  Now in this problem,
[00:06.72 -> 00:07.52]  two trains
[00:07.94 -> 00:09.34]  start from two cities
[00:09.92 -> 00:12.32]  which are four hundred twenty kilometers apart.
[00:12.96 -> 00:15.28]  One train is moving at sixty kilometers per hour,
[00:15.90 -> 00:16.70]  and the other train
[00:17.22 -> 00:19.42]  is moving at eighty kilometers per hour.
[00:20.04 -> 00:27.72]  The question is asking us to find after how many hours the two trains will meet. Now, the important point here is that both trains are moving towards each other,
[00:28.42 -> 00:34.32]  so the distance between them is getting reduced from both sides at the combined rate of their speeds.
[00:34.82 -> 00:37.06]  Therefore, when two bodies move towards each other,
[00:37.64 -> 00:40.22]  their relative speed is the sum of their speeds.
[00:40.68 -> 00:46.74]  Relative speed equals sixty plus eighty equals one hundred forty kilometers per hour. Done.
[00:47.34 -> 00:48.58]  Now we have everything we need.
[00:49.14 -> 00:53.12]  We know distance equals four hundred twenty kilometer.
[00:53.58 -> 00:58.76]  Relative speed equals one hundred forty kilometers per hour. Now we can use the speed-distance-time formula.
[00:59.28 -> 01:02.78]  Time equals distance divided by relative speed.
[01:03.32 -> 01:04.60]  Substituting the values,
[01:05.00 -> 01:08.30]  time equals four hundred twenty divided by one hundred forty.
[01:09.02 -> 01:10.10]  After simplifying this,
[01:10.50 -> 01:11.40]  we get three hours.
[01:12.22 -> 01:16.76]  So the trains will meet after three hours. Hence, the correct option is option B.
