[00:00.10 -> 00:01.10]  So welcome back again.
[00:01.72 -> 00:03.08]  Time for one more problem.
[00:03.66 -> 00:08.86]  Now in this problem, we are given that the speeds of A and B are in the ratio of five is to six.
[00:09.42 -> 00:10.22]  Also, A takes
[00:10.54 -> 00:12.16]  72 minutes to cover a fixed
[00:12.54 -> 00:13.02]  distance.
[00:13.50 -> 00:18.06]  The question is asking us to find how much time B will take to cover the same distance.
[00:18.36 -> 00:22.50]  Now let us assume the speed of A is 5X and the speed of B is 6X.
[00:22.88 -> 00:24.32]  Let us find the common distance.
[00:24.64 -> 00:25.48]  We know the formula,
[00:25.88 -> 00:27.58]  distance is equal to speed into time.
[00:28.02 -> 00:29.52]  For A, distance is equal to
[00:29.98 -> 00:30.70]  5X into
[00:31.06 -> 00:31.40]  72.
[00:31.82 -> 00:32.46]  This gives us
[00:32.82 -> 00:34.06]  360X.
[00:34.54 -> 00:36.50]  Since both of them cover the same distance,
[00:36.86 -> 00:37.82]  B also has to cover
[00:38.14 -> 00:39.36]  360X.
[00:39.82 -> 00:44.54]  Now that we know the distance covered by B, let us find the time taken by B.
[00:45.20 -> 00:51.94]  Time taken by B is equal to distance covered by B, 360X, divided by the speed
[00:52.30 -> 00:52.78]  6X.
[00:53.16 -> 00:53.44]  Here,
[00:54.04 -> 00:58.38]  X gets canceled from both the numerator and the denominator.
[00:58.84 -> 01:00.82]  After simplifying this, we get 60 minutes.
[01:01.34 -> 01:04.44]  So B takes 60 minutes to cover the same distance.
[01:04.94 -> 01:07.02]  Hence, the correct answer is option B.
