[00:00.10 -> 00:01.46]  So welcome back again.
[00:02.08 -> 00:03.20]  Time for one more problem.
[00:03.80 -> 00:04.64]  Now in this problem,
[00:05.12 -> 00:09.80]  we are given that the downstream speed of a boat is 18 kilometer per hour.
[00:10.34 -> 00:12.70]  The upstream speed is 12 kilometer per hour.
[00:13.24 -> 00:15.78]  The question is asking us to find the speed of the stream.
[00:16.18 -> 00:17.10]  Now before solving,
[00:17.56 -> 00:20.10]  let us understand one simple concept.
[00:20.52 -> 00:23.26]  When the boat moves in the same direction as the river,
[00:23.68 -> 00:29.12]  the current helps the boat. So downstream speed is equal to boat speed in still water plus stream speed.
[00:29.46 -> 00:31.46]  And when the boat moves against the flow of the river,
[00:32.10 -> 00:34.32]  the current slows the boat down.
[00:35.02 -> 00:38.94]  So upstream speed is equal to boat speed in still water minus stream speed.
[00:39.36 -> 00:45.68]  Now let the speed of the boat in still water be b kilometers per hour, and let the speed of the stream be c kilometers per hour.
[00:46.08 -> 00:47.32]  From the downstream speed,
[00:47.70 -> 00:49.32]  b plus c is equal to 18.
[00:49.78 -> 00:52.88]  From the upstream speed, b minus c is equal to 12.
[00:53.28 -> 00:54.76]  Now we need to find the stream speed.
[00:55.12 -> 00:58.54]  So let us subtract the second equation from the first.
[00:59.20 -> 01:05.16]  B plus c minus b minus c is equal to 18 minus 12.
[01:05.54 -> 01:08.82]  The b gets canceled. We are left with two c is equal to six.
[01:09.34 -> 01:11.54]  So c is equal to three kilometer per hour.
[01:12.00 -> 01:15.16]  So the speed of the stream is three kilometer per hour.
[01:15.68 -> 01:18.92]  Hence, the correct answer is option D.
