[00:00.10 -> 00:01.38]  So welcome back again.
[00:02.02 -> 00:03.80]  It's time to solve one more problem.
[00:04.28 -> 00:04.98]  Now in this problem,
[00:05.38 -> 00:10.16]  we are given that the ratio of the boat's speed in still water to the stream's speed is five is to one.
[00:10.74 -> 00:13.70]  Also, the boat takes four hours to travel downstream.
[00:14.12 -> 00:14.82]  The question is
[00:15.28 -> 00:19.40]  asking us to find how much time it will take to come back upstream over the same distance.
[00:19.84 -> 00:20.70]  Hence from ratio,
[00:21.08 -> 00:22.84]  let the boat speed in still water be
[00:23.14 -> 00:26.54]  5x and let the stream speed be x. Now we know the formulas.
[00:26.92 -> 00:32.06]  When boat moves downstream, the current help it to move faster, so downstream speed is boat speed plus
[00:32.42 -> 00:38.34]  stream speed, and when boat moves upstream, the current opposes it, so upstream speed is boat speed minus stream speed.
[00:38.66 -> 00:40.62]  So the downstream speed becomes
[00:40.98 -> 00:46.22]  5x plus x, which is 6x, and the upstream speed becomes 5x minus x, which is 4x.
[00:46.54 -> 00:46.80]  Done.
[00:47.14 -> 00:49.66]  Now let us use the downstream journey to find the distance.
[00:50.08 -> 00:52.68]  Distance is equal to speed multiplied by time.
[00:53.08 -> 00:55.80]  So distance covered in downstream becomes
[00:56.14 -> 00:57.56]  6x multiplied by four,
[00:57.92 -> 00:59.04]  which is 24x.
[00:59.50 -> 01:00.70]  Now that we know the distance,
[01:01.20 -> 01:03.10]  finding the upstream time is very easy.
[01:03.58 -> 01:08.14]  Since the distance covered in both cases are same, so in upstream distance became
[01:08.48 -> 01:12.72]  24x and the time is equal to distance divided by speed.
[01:13.12 -> 01:15.42]  So upstream time becomes 24x divided by
[01:15.72 -> 01:16.02]  4x.
[01:16.38 -> 01:19.04]  The x gets canceled and we get six hours.
[01:19.84 -> 01:20.26]  Hence,
[01:20.68 -> 01:25.88]  the boat will take six hours to travel upstream. So the final answer is option C.
