[00:00.10 -> 00:01.04]  So welcome back again.
[00:01.74 -> 00:03.42]  It's time to solve one more problem.
[00:03.82 -> 00:07.48]  Now in this problem, we are given that a train is traveling at seventy-two kilometer per hour,
[00:07.98 -> 00:09.88]  and it crosses a pole in fifteen seconds.
[00:10.52 -> 00:13.28]  The question is asking us to find the length of the train.
[00:13.60 -> 00:16.12]  Now, the important words here are "crosses a pole."
[00:16.86 -> 00:17.98]  What does this actually mean?
[00:18.58 -> 00:20.00]  A pole has almost no width.
[00:20.36 -> 00:21.72]  So when a train crosses a pole,
[00:22.10 -> 00:24.34]  the train covers only its own length.
[00:24.80 -> 00:26.56]  This is a simple rule to remember.
[00:27.40 -> 00:28.76]  When a train crosses a pole,
[00:29.40 -> 00:32.02]  distance covered equals length of the train.
[00:32.50 -> 00:32.76]  Done?
[00:33.30 -> 00:33.64]  Great.
[00:34.24 -> 00:35.68]  Now, before using the formula,
[00:36.10 -> 00:37.46]  we should notice one more thing.
[00:38.06 -> 00:40.16]  The speed is given in kilometer per hour,
[00:40.80 -> 00:42.58]  but the time is given in seconds.
[00:43.06 -> 00:46.58]  So first, we must convert the speed into meter per second.
[00:46.94 -> 00:51.96]  We know seventy-two multiplied by five divided by eighteen is equal to twenty meters per second.
[00:52.32 -> 00:53.24]  Now this part is done.
[00:53.72 -> 00:55.60]  We can use this value in the next step.
[00:56.00 -> 00:59.72]  We know distance equals speed multiplied by time.
[01:00.26 -> 01:05.22]  Since the distance covered is the length of the train, length equals twenty multiplied by fifteen.
[01:05.78 -> 01:07.96]  After multiplying, we get three hundred meter.
[01:08.70 -> 01:09.16]  Hence,
[01:09.70 -> 01:13.10]  the length of the train is three hundred meter.
[01:13.52 -> 01:15.20]  So the final answer will be option D.
