[00:00.08 -> 00:01.66]  So welcome back again.
[00:02.22 -> 00:03.52]  Time for one more problem.
[00:04.00 -> 00:04.76]  Now in this problem,
[00:05.20 -> 00:06.03]  we are given that
[00:06.42 -> 00:06.89]  two bikes
[00:07.24 -> 00:08.54]  start from the same point.
[00:08.90 -> 00:12.68]  The speed of bike A is twenty-eight kilometers per hour.
[00:13.20 -> 00:15.84]  The speed of bike B is thirty-two kilometers per hour.
[00:16.36 -> 00:19.96]  Both bikes are moving in opposite directions also. They keep moving for two hours.
[00:20.50 -> 00:29.58]  The question is asking us to find how far apart they will be after two hours. Now let us assume the distance traveled by bike A is X kilometers,
[00:30.08 -> 00:32.98]  and let the distance traveled by bike B be Y kilometers.
[00:33.78 -> 00:34.30]  Now first,
[00:34.64 -> 00:36.76]  let us understand one important concept.
[00:37.22 -> 00:40.18]  The bikes are moving in opposite directions.
[00:40.76 -> 00:42.71]  Because both bikes are moving away from each other,
[00:43.22 -> 00:45.32]  the distance between them keeps increasing.
[00:45.68 -> 00:47.32]  So the distance between the two bikes
[00:47.72 -> 00:51.86]  will be the sum of their individual distances from the starting point.
[00:52.18 -> 00:52.64]  That means
[00:53.06 -> 00:55.48]  distance between the two bikes is equal to
[00:56.24 -> 00:56.72]  X plus
[00:57.12 -> 00:57.26]  Y.
[00:57.74 -> 01:00.24]  Now let us find the distance traveled by each bike.
[01:00.72 -> 01:01.42]  We know the formula,
[01:01.98 -> 01:03.90]  distance is equal to speed into time.
[01:04.52 -> 01:05.16]  For bike A,
[01:05.76 -> 01:05.78]  X,
[01:06.20 -> 01:08.00]  which is the distance traveled by bike A,
[01:08.52 -> 01:09.92]  is equal to speed into time.
[01:10.60 -> 01:11.01]  That is,
[01:11.78 -> 01:12.74]  X is equal to
[01:13.24 -> 01:14.36]  twenty-eight into two.
[01:14.80 -> 01:14.92]  So
[01:15.56 -> 01:17.94]  X is equal to fifty-six kilometers.
[01:18.27 -> 01:20.78]  Now let us find the distance traveled by bike B.
[01:21.30 -> 01:21.58]  Again,
[01:22.08 -> 01:23.14]  using the same formula,
[01:23.80 -> 01:27.48]  Y, which is the distance traveled by bike B, is equal to speed into time.
[01:27.94 -> 01:28.33]  That is,
[01:28.88 -> 01:30.66]  Y is equal to thirty-two into two.
[01:31.28 -> 01:32.12]  After solving this,
[01:32.66 -> 01:34.44]  Y is equal to sixty-four kilometers.
[01:34.78 -> 01:36.12]  Now we know both distances.
[01:36.59 -> 01:39.24]  So the distance between the two bikes is equal to X plus Y.
[01:39.74 -> 01:40.58]  Putting the values,
[01:41.02 -> 01:43.50]  distance is equal to fifty-six plus
[01:43.84 -> 01:44.34]  sixty-four.
[01:44.94 -> 01:46.78]  This gives us one hundred twenty kilometers.
[01:47.18 -> 01:48.16]  So after two hours,
[01:48.48 -> 01:51.74]  the two bikes will be one hundred twenty kilometers apart.
[01:52.22 -> 01:52.62]  Hence,
[01:53.10 -> 01:55.40]  the correct answer is option B
