[00:00.12 -> 00:00.28]  So
[00:00.78 -> 00:01.66]  welcome back again.
[00:02.22 -> 00:02.76]  Time for
[00:03.32 -> 00:04.10]  one more problem.
[00:04.62 -> 00:09.78]  Now, in this problem, we are given that a person goes from home to office at fifty-four kilometers per hour.
[00:10.38 -> 00:14.10]  Then the person returns by the same route at thirty-six kilometers per hour.
[00:14.68 -> 00:18.26]  The question is asking us to find the average speed for the complete round trip.
[00:18.82 -> 00:22.56]  Now, let us assume the distance between the home and the office is x kilometers.
[00:23.08 -> 00:25.82]  Now, let us find the time taken for each part of the journey.
[00:26.38 -> 00:27.22]  We know the formula,
[00:27.84 -> 00:30.12]  time is equal to distance divided by speed.
[00:30.52 -> 00:33.94]  So the time taken to go from home to office at fifty-four kilometers per hour
[00:34.46 -> 00:34.58]  is
[00:34.92 -> 00:37.12]  x divided by fifty-four hours.
[00:37.56 -> 00:45.68]  Similarly, the time taken to return at thirty-six kilometers per hour is x divided by thirty-six hours. Now this part is completed.
[00:46.08 -> 00:46.46]  Next,
[00:46.98 -> 00:48.46]  let us find the total distance.
[00:48.84 -> 00:50.00]  The person travels
[00:50.34 -> 00:53.74]  x kilometers while going and another x kilometers while coming back.
[00:54.16 -> 00:55.40]  So the total distance is
[00:55.72 -> 00:56.28]  x plus
[00:56.62 -> 01:00.28]  x, which is two x kilometers. Now let us find the total time.
[01:00.72 -> 01:05.80]  Total time is equal to x divided by fifty-four plus x divided by thirty-six.
[01:06.28 -> 01:11.74]  After simplifying this, the total time becomes five x divided by one hundred eight hours.
[01:12.18 -> 01:13.40]  Now we have everything we need.
[01:14.02 -> 01:17.16]  Average speed is equal to total distance divided by total time.
[01:17.58 -> 01:18.50]  Putting the values,
[01:18.94 -> 01:27.90]  average speed is equal to two x divided by five x divided by one hundred eight. Dividing by a fraction is the same as multiplying by its reciprocal.
[01:28.28 -> 01:29.46]  So this becomes two
[01:29.96 -> 01:31.08]  x into one hundred eight
[01:31.58 -> 01:32.40]  divided by five
[01:33.02 -> 01:48.54]  x. Here, x gets canceled. After simplifying this, we get two hundred sixteen divided by five, which is forty-three point two. So the average speed for the complete round trip is forty-three point two kilometer per hour. Hence, the correct answer is option A.
