[00:00.10 -> 00:01.08]  So welcome back again.
[00:01.56 -> 00:02.66]  Time for one more problem.
[00:03.32 -> 00:04.08]  Now in this problem,
[00:04.66 -> 00:07.64]  we are given that the downstream speed of a boat
[00:08.18 -> 00:08.32]  is
[00:08.78 -> 00:09.82]  30 kilometer
[00:10.30 -> 00:10.78]  per hour.
[00:11.52 -> 00:14.04]  Also, the speed of the current is five kilometer per hour.
[00:14.62 -> 00:16.40]  The question is asking us to find
[00:16.92 -> 00:17.06]  the
[00:17.52 -> 00:20.36]  upstream speed of the boat. Now, before solving,
[00:20.76 -> 00:22.86]  let us understand one simple concept.
[00:23.22 -> 00:25.96]  Imagine that the river is flowing in one direction.
[00:26.44 -> 00:29.36]  When the boat moves in the same direction as the river,
[00:29.76 -> 00:32.06]  the current helps the boat move faster,
[00:32.44 -> 00:33.74]  so both the speeds get added.
[00:34.14 -> 00:38.60]  That is why downstream speed is equal to speed of boat in still water,
[00:39.02 -> 00:44.44]  plus speed of current. Now, let the speed of the boat in still water be b kilometer per hour.
[00:44.88 -> 00:51.90]  The downstream speed is already given as 30, and the speed of the current is five, so b plus five is equal to 30.
[00:52.48 -> 00:53.44]  After solving this,
[00:53.92 -> 00:56.16]  b is equal to 25 kilometers per hour.
[00:56.66 -> 01:00.02]  Now, this value will help us find the upstream speed.
[01:00.44 -> 01:00.74]  Why?
[01:01.10 -> 01:05.78]  Because upstream means the boat is moving against the flow of the river.
[01:06.16 -> 01:15.44]  So this time, the current slows the boat down. That is why upstream speed is equal to speed of boat in still water, minus speed of current.
[01:15.78 -> 01:19.54]  Now, we already know the speed of the boat in still water. It is
[01:19.88 -> 01:24.56]  25 kilometer per hour. So upstream speed is equal to 25 minus five.
[01:25.12 -> 01:28.26]  After simplifying this, we get 20 kilometer per hour.
[01:28.80 -> 01:33.14]  So the upstream speed of the boat is 20 kilometer per hour.
[01:33.74 -> 01:34.18]  Hence,
[01:34.56 -> 01:36.62]  the correct answer is option B.
