[00:00.10 -> 00:01.68]  So welcome back again.
[00:02.56 -> 00:05.28]  It's time to solve one more problem.
[00:05.86 -> 00:10.80]  Now in this problem, we are given that a train is two hundred forty meters long.
[00:11.38 -> 00:12.36]  It passes a man
[00:12.76 -> 00:14.94]  who is walking at six kilometers per hour
[00:15.54 -> 00:16.92]  in the opposite direction.
[00:17.54 -> 00:20.70]  The train takes twelve seconds to completely pass the man.
[00:21.42 -> 00:23.94]  The question is asking us to find the speed of the train.
[00:24.52 -> 00:28.98]  Now, the important words here are opposite direction. What does this actually mean?
[00:29.54 -> 00:32.49]  It means the train and the man are moving towards each other,
[00:33.04 -> 00:34.58]  so their speeds do not cancel.
[00:35.08 -> 00:35.56]  Instead,
[00:36.00 -> 00:38.78]  they get added. This is the basic rule to remember.
[00:39.31 -> 00:41.34]  When two objects move in opposite directions,
[00:41.88 -> 00:43.38]  relative speed equals
[00:43.84 -> 00:45.08]  sum of their speeds.
[00:45.54 -> 00:46.80]  Now, before using this rule,
[00:47.44 -> 00:48.22]  we first
[00:48.60 -> 00:50.16]  need the relative speed.
[00:50.76 -> 00:56.98]  Why? Because we already know the train length and the time taken to pass the man. When a train passes a person,
[00:57.42 -> 00:58.60]  the distance covered
[00:59.16 -> 01:00.78]  is only the length of the train.
[01:01.20 -> 01:02.16]  So relative speed
[01:02.62 -> 01:08.42]  equals distance divided by time equals two hundred forty divided by twelve equals twenty meters per second.
[01:08.94 -> 01:09.16]  Done.
[01:09.98 -> 01:11.28]  Now we know the relative speed.
[01:11.72 -> 01:13.96]  The man's speed is given in kilometers per hour.
[01:14.44 -> 01:16.42]  So let us convert it into meter per second.
[01:17.12 -> 01:18.60]  Six multiplied by five
[01:18.98 -> 01:23.65]  divided by eighteen gives us five by three meter per second. Now we can use the relation,
[01:24.04 -> 01:26.90]  relative speed equals train speed plus man speed.
[01:27.52 -> 01:32.19]  So twenty equals train speed plus five by three. After simplifying this,
[01:32.64 -> 01:36.24]  we get train speed equals fifty-five by three meters per second.
[01:36.82 -> 01:38.14]  Now only one step is left.
[01:38.69 -> 01:40.20]  The options are in kilometers per hour.
[01:40.86 -> 01:42.24]  So we convert the speed back.
[01:42.82 -> 01:45.44]  Fifty-five by three multiplied by eighteen divided by five
[01:45.98 -> 01:47.86]  gives us sixty-six kilometers per hour.
[01:48.70 -> 01:53.02]  Hence, the speed of the train is sixty-six kilometer per hour.
[01:53.72 -> 01:55.26]  So the final answer will be option D.
