[00:00.12 -> 00:01.90]  So welcome back again.
[00:02.52 -> 00:03.70]  Time for one more problem.
[00:04.18 -> 00:07.42]  Now, in this problem, we are given that the downstream speed of a boat
[00:07.88 -> 00:08.02]  is
[00:08.46 -> 00:10.20]  27 kilometer per hour.
[00:10.92 -> 00:13.20]  Also, the speed of the boat in still water
[00:13.74 -> 00:15.24]  is 22 kilometer per hour.
[00:15.82 -> 00:18.80]  The question is asking us to find the upstream speed of the boat.
[00:19.22 -> 00:21.96]  Now, before solving, let us understand one simple concept.
[00:22.40 -> 00:24.24]  When a boat moves downstream,
[00:24.72 -> 00:26.74]  the current helps the boat.
[00:27.12 -> 00:30.00]  So downstream speed is equal to speed in still water plus
[00:30.42 -> 00:31.28]  speed of the current.
[00:31.66 -> 00:38.48]  We can also write this as speed of the current is equal to downstream speed minus speed in still water.
[00:38.88 -> 00:41.96]  Now, we already know the downstream speed and the speed in still water.
[00:42.52 -> 00:43.40]  Putting the values,
[00:43.76 -> 00:44.84]  speed of the current is equal to
[00:45.20 -> 00:46.70]  27 minus 22.
[00:47.14 -> 00:48.88]  This gives us five kilometers per hour.
[00:49.32 -> 00:52.66]  Now that we know the speed of the current, we can find the upstream speed.
[00:53.10 -> 00:54.36]  Be very sure about one thing.
[00:54.70 -> 01:02.40]  When a boat moves upstream, the current moves against the boat. So upstream speed is equal to speed in still water minus speed of the current.
[01:02.90 -> 01:06.62]  Putting the values, upstream speed is equal to 22 minus 5.
[01:07.06 -> 01:09.02]  This gives us 17 kilometers per hour.
[01:09.46 -> 01:13.24]  So the upstream speed of the boat is 17 kilometers per hour.
[01:13.64 -> 01:16.04]  Hence, the correct answer is option D.
