[00:00.12 → 00:00.26]  So
[00:00.92 → 00:01.70]  welcome back again.
[00:02.16 → 00:03.76]  Time for one more problem.
[00:04.20 → 00:05.02]  Now, in this problem,
[00:05.52 → 00:06.48]  we are given that
[00:06.92 → 00:07.98]  a train covers
[00:08.54 → 00:09.82]  three hundred kilometers
[00:10.30 → 00:11.22]  in five hours,
[00:11.62 → 00:13.08]  including all the stoppages.
[00:13.56 → 00:14.52]  Its running speed is
[00:14.98 → 00:15.70]  seventy-five
[00:16.26 → 00:17.24]  kilometer per hour.
[00:17.94 → 00:20.92]  The question is asking us to find the total stoppage time.
[00:21.46 → 00:22.00]  Now, first,
[00:22.38 → 00:27.32]  let us find the actual running time taken by train to cover three hundred kilometers.
[00:27.80 → 00:28.64]  We know the formula.
[00:29.18 → 00:32.24]  Time is equal to distance divided by speed.
[00:32.78 → 00:33.70]  Putting the values,
[00:34.12 → 00:37.50]  running time is equal to three hundred divided by seventy-five.
[00:38.00 → 00:39.22]  This gives us four hours.
[00:39.64 → 00:41.46]  Now that we know the actual running time,
[00:41.86 → 00:43.78]  finding the stoppage time becomes very easy.
[00:44.34 → 00:45.96]  The total journey took five hours,
[00:46.40 → 00:49.00]  but the train was actually moving for only four hours.
[00:49.42 → 00:51.68]  So the remaining time must be the stoppage time.
[00:52.16 → 00:54.94]  Stoppage time is equal to total time minus running time.
[00:55.26 → 00:56.84]  That is equal to five minus four.
[00:57.32 → 01:01.28]  This gives us one hour. So the total stoppage time is one hour.
[01:01.62 → 01:03.92]  Hence, the correct answer is option C.
