[00:00.10 -> 00:01.36]  So welcome back again.
[00:02.02 -> 00:03.52]  Time for one more problem.
[00:04.14 -> 00:04.92]  Now in this problem,
[00:05.58 -> 00:06.34]  we are given that
[00:06.92 -> 00:08.04]  the speed of the boat
[00:08.54 -> 00:09.50]  in still water
[00:10.20 -> 00:10.32]  is
[00:10.64 -> 00:12.00]  20 kilometer per hour.
[00:12.72 -> 00:15.44]  Also, the speed of the current is four kilometer per hour.
[00:16.16 -> 00:19.62]  The question is asking us to find the time needed to cover
[00:20.06 -> 00:20.46]  64
[00:21.02 -> 00:22.52]  kilometer upstream.
[00:23.12 -> 00:24.08]  Now before solving,
[00:24.64 -> 00:26.80]  let us understand one simple concept.
[00:27.20 -> 00:28.52]  When a boat moves upstream,
[00:29.00 -> 00:31.06]  it is moving against the flow of the river,
[00:31.74 -> 00:33.56]  so the current slows the boat down.
[00:34.00 -> 00:39.00]  That is why upstream speed is equal to speed of boat in still water,
[00:39.60 -> 00:41.28]  minus speed of current.
[00:41.64 -> 00:43.30]  Now let us find the upstream speed.
[00:43.70 -> 00:44.72]  Putting the values,
[00:45.20 -> 00:46.36]  upstream speed is equal to
[00:46.80 -> 00:47.92]  20 minus four.
[00:48.42 -> 00:53.28]  After simplifying this, we get 16 kilometers per hour. Now this part is completed.
[00:53.68 -> 00:57.62]  We already know the upstream speed, so now we can find the required time.
[00:58.04 -> 00:59.00]  We know the formula.
[00:59.54 -> 01:02.32]  Time is equal to distance divided by speed.
[01:02.70 -> 01:03.66]  Putting the values,
[01:04.06 -> 01:08.84]  time is equal to 64 divided by 16. After simplifying this, we get four hours.
[01:09.34 -> 01:13.50]  So the time needed to cover 64 kilometer upstream is four hours.
[01:13.98 -> 01:16.58]  Hence, the correct answer is option D.
