[00:00.10 -> 00:01.10]  So welcome back again.
[00:01.62 -> 00:02.82]  It's time to solve
[00:03.44 -> 00:04.32]  one more problem.
[00:04.84 -> 00:05.56]  In this problem,
[00:06.18 -> 00:06.98]  we are given that
[00:07.56 -> 00:09.24]  sine theta plus cos theta
[00:09.76 -> 00:11.34]  is equal to seven by five,
[00:11.76 -> 00:14.42]  and we need to find sine theta into cos theta.
[00:14.98 -> 00:17.82]  Whenever we see sine theta plus cos theta together,
[00:18.32 -> 00:20.18]  there is one very useful trick.
[00:20.58 -> 00:21.80]  We square both sides.
[00:22.72 -> 00:24.40]  So sine theta plus cos theta
[00:24.78 -> 00:27.40]  whole square is equal to seven by five whole square.
[00:28.02 -> 00:29.20]  After opening the bracket,
[00:29.54 -> 00:31.20]  this becomes sine square theta
[00:31.64 -> 00:33.64]  plus cos square theta
[00:34.14 -> 00:35.24]  plus two
[00:35.80 -> 00:37.76]  sine theta cos theta
[00:38.16 -> 00:39.20]  is equal to forty-nine
[00:39.70 -> 00:43.70]  by twenty-five. Now, as we know, the standard identity sine square theta
[00:44.06 -> 00:45.54]  plus cos square theta
[00:46.00 -> 00:47.24]  is always equal to one,
[00:47.74 -> 00:49.10]  and it works for every angle.
[00:49.54 -> 00:56.04]  So we replace sine square theta plus cos square theta with one.
[00:56.56 -> 01:06.38]  Now, the equation becomes one plus two sine theta cos theta is equal to forty-nine by twenty-five. The question is asking for sine theta cos theta.
[01:06.76 -> 01:08.56]  So we need to isolate that term.
[01:09.14 -> 01:10.88]  Subtracting one from both sides,
[01:11.18 -> 01:18.50]  we get two sine theta cos theta is equal to twenty-four by twenty-five. Now divide both sides by two.
[01:18.96 -> 01:27.38]  We get sine theta cos theta is equal to twelve by twenty-five. Done and dusted.
[01:28.08 -> 01:31.14]  So the final answer will be twelve by twenty-five. Hence,
[01:31.68 -> 01:33.22]  option D is the correct answer
