[00:00.10 -> 00:00.26]  So
[00:00.68 -> 00:01.56]  welcome back again.
[00:02.16 -> 00:03.32]  Time for one more problem.
[00:04.02 -> 00:06.94]  Imagine a person walking for the same number of hours
[00:07.48 -> 00:08.78]  in two different cases.
[00:09.34 -> 00:10.14]  In the first case,
[00:10.64 -> 00:14.02]  the person walks at fifteen kilometers per hour.
[00:14.64 -> 00:15.52]  In the second case,
[00:16.00 -> 00:19.34]  the person walks faster at twenty kilometers per hour.
[00:19.90 -> 00:21.44]  Because the person walks faster,
[00:21.80 -> 00:23.82]  the distance also becomes longer.
[00:24.22 -> 00:25.28]  The extra distance is
[00:25.64 -> 00:26.56]  thirty kilometers.
[00:26.92 -> 00:29.52]  We need to find the distance covered in the first case.
[00:29.98 -> 00:32.04]  Let us call this distance d kilometers.
[00:32.40 -> 00:36.44]  So the first distance is d, the second distance is thirty kilometers more,
[00:37.04 -> 00:39.16]  so it becomes d plus thirty.
[00:39.86 -> 00:41.08]  Now look at the important clue.
[00:41.54 -> 00:42.52]  The time is the same.
[00:43.14 -> 00:45.78]  Time is equal to distance divided by speed.
[00:46.18 -> 00:52.32]  For the first case, time is d divided by fifteen. For the second case, time is d plus thirty divided by twenty.
[00:52.78 -> 00:58.80]  Since both times are equal, we can write d divided by fifteen is equal to d plus thirty divided by twenty.
[00:59.24 -> 01:00.32]  Now cross multiply.
[01:00.76 -> 01:11.80]  Twenty d is equal to fifteen multiplied by d plus thirty. Opening the bracket gives twenty d is equal to fifteen d plus four hundred fifty. Now subtract fifteen d from both sides.
[01:12.26 -> 01:14.04]  Five d is equal to four hundred fifty.
[01:14.54 -> 01:15.84]  Divide both sides by five.
[01:16.40 -> 01:17.50]  d is equal to ninety.
[01:17.90 -> 01:20.20]  So the actual distance traveled is ninety kilometers.
[01:20.60 -> 01:23.78]  The correct answer is option d, ninety kilometers
