[00:00.10 -> 00:01.54]  So welcome back again.
[00:02.06 -> 00:03.22]  Time for one more problem.
[00:03.74 -> 00:04.50]  Now in this problem,
[00:04.96 -> 00:05.74]  we are given that
[00:06.14 -> 00:07.94]  a scooter is moving at a speed of
[00:08.38 -> 00:10.20]  fifty-four kilometer per hour.
[00:10.70 -> 00:15.28]  The question is asking us to find how many meters the scooter will cover in fifty seconds.
[00:15.68 -> 00:16.14]  Now, first,
[00:16.46 -> 00:18.20]  let us note down the given values.
[00:18.66 -> 00:21.10]  Speed of the scooter is fifty-four kilometers per hour.
[00:21.58 -> 00:23.10]  Time taken is fifty seconds.
[00:23.60 -> 00:24.92]  Be very sure about one thing.
[00:25.34 -> 00:27.70]  The speed is given in kilometer per hour,
[00:28.14 -> 00:29.72]  but the time is given in seconds.
[00:30.24 -> 00:34.08]  So before using the formula, we must first convert the speed into meter per second.
[00:34.60 -> 00:38.22]  We know that to convert kilometer per hour into meter per second,
[00:38.66 -> 00:40.94]  we simply multiply by five by eighteen.
[00:41.40 -> 00:49.60]  Now, let us apply this conversion. Fifty-four kilometer per hour is equal to fifty-four into five by eighteen meters per second. After simplifying this,
[00:49.92 -> 00:51.44]  we get fifteen meters per second.
[00:51.82 -> 00:53.26]  Now this part is completed.
[00:53.64 -> 00:58.14]  Since the speed and the time are now in compatible units, we can directly use the formula.
[00:58.60 -> 01:00.42]  Distance is equal to speed into time.
[01:00.80 -> 01:01.64]  Putting the values,
[01:01.96 -> 01:04.08]  distance is equal to fifteen into fifty,
[01:04.44 -> 01:06.14]  which is seven hundred fifty meter.
[01:06.58 -> 01:14.04]  So the scooter covers seven hundred fifty meter in fifty seconds. Hence, the final answer is option D.
