[00:00.10 -> 00:01.12]  So welcome back again.
[00:01.76 -> 00:03.16]  It's time to solve one more problem.
[00:03.78 -> 00:04.52]  Now, in this problem,
[00:05.20 -> 00:05.88]  we are given that
[00:06.42 -> 00:08.14]  the speed of the boat in still water
[00:08.70 -> 00:10.34]  is ten kilometer per hour,
[00:11.04 -> 00:13.82]  and the speed of the stream is two kilometer per hour.
[00:14.46 -> 00:15.24]  The question is
[00:15.88 -> 00:18.82]  asking us to find the downstream speed.
[00:19.50 -> 00:21.20]  Now, the important word here is downstream.
[00:22.02 -> 00:23.42]  What does downstream actually mean?
[00:23.92 -> 00:27.46]  It means the boat is moving in the same direction as the flowing water.
[00:28.04 -> 00:32.76]  Since both the boat and the stream are moving in the same direction, their speeds help each other.
[00:33.16 -> 00:34.40]  So for downstream movement,
[00:34.72 -> 00:36.70]  we always add the two speeds.
[00:37.12 -> 00:38.68]  This is a simple rule to remember.
[00:39.14 -> 00:44.32]  Downstream speed equals boat speed in still water plus stream speed.
[00:44.84 -> 00:45.20]  Got it?
[00:45.68 -> 00:46.04]  Perfect.
[00:46.60 -> 00:48.08]  Now let us put the given values.
[00:48.64 -> 00:50.86]  Boat speed equals ten kilometer per hour.
[00:51.38 -> 01:06.72]  Stream speed equals two kilometer per hour. So downstream speed equals ten plus two. After adding them, we get twelve kilometer per hour. Hence, the downstream speed of the boat is twelve kilometer per hour. So the final answer will be option B.
