[00:00.12 -> 00:00.28]  So
[00:00.88 -> 00:01.92]  welcome back again.
[00:02.54 -> 00:04.32]  It's time to solve one more problem.
[00:04.80 -> 00:05.60]  Now, in this problem,
[00:05.98 -> 00:10.96]  we are given that a boat covers forty-eight kilometer upstream in four hours.
[00:11.48 -> 00:13.46]  Also, the speed of the stream or current is
[00:13.90 -> 00:15.24]  three kilometer per hour.
[00:15.78 -> 00:19.46]  The question is asking us to find the speed of the boat in still water.
[00:20.02 -> 00:28.26]  Before solving, let us take the boat speed in still water as b kilometer per hour and the stream speed as c kilometer per hour.
[00:28.72 -> 00:31.04]  Now, the important point here is upstream.
[00:31.48 -> 00:32.52]  What does upstream mean?
[00:32.94 -> 00:34.08]  When the boat moves upstream,
[00:34.62 -> 00:36.24]  the water pushes against the boat,
[00:36.74 -> 00:37.96]  so the boat becomes slower.
[00:38.38 -> 00:43.50]  That is why upstream speed equals boat speed in still water minus stream speed.
[00:43.86 -> 00:45.66]  So we can write b minus c.
[00:46.14 -> 00:46.44]  Done.
[00:46.82 -> 00:48.76]  Now, let us find the upstream speed first.
[00:49.34 -> 00:56.74]  We know speed equals distance divided by time, so forty-eight divided by four gives us twelve kilometer per hour.
[00:57.20 -> 01:00.42]  Now that we have found the upstream speed, we can use it in the formula.
[01:01.00 -> 01:03.76]  We already know b minus c equals twelve
[01:04.38 -> 01:13.12]  and the stream speed c is three, so b minus three equals twelve. After solving this, we get b equals fifteen kilometer per hour.
[01:13.82 -> 01:21.10]  Hence, the boat's speed in still water is fifteen kilometer per hour, so the correct option is option A.
